Kommune;Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
Solrød;1. Havdrup;A;Socialdemokratiet;Listestemmer;328
Solrød;1. Havdrup;A;Socialdemokratiet;Lars Gaardhøj, København;31
Solrød;1. Havdrup;A;Socialdemokratiet;Trine Birk Andersen, Holbæk;28
Solrød;1. Havdrup;A;Socialdemokratiet;Jarl Feyling, København;2
Solrød;1. Havdrup;A;Socialdemokratiet;Sofie de Bretteville, Ballerup;6
Solrød;1. Havdrup;A;Socialdemokratiet;Michael Schmidt, Halsnæs;1
Solrød;1. Havdrup;A;Socialdemokratiet;Laila Kildesgaard, Bornholm;6
Solrød;1. Havdrup;A;Socialdemokratiet;Susanne Lundvald, Næstved;4
Solrød;1. Havdrup;A;Socialdemokratiet;Sara Smith Hald, Valby;3
Solrød;1. Havdrup;A;Socialdemokratiet;Nicolai Kampmann, Hvidovre;0
Solrød;1. Havdrup;A;Socialdemokratiet;Sine Reffstrup, Ringsted;9
Solrød;1. Havdrup;A;Socialdemokratiet;Vibeke Westh, Frederiksberg;0
Solrød;1. Havdrup;A;Socialdemokratiet;Susanne Due Kristensen, Hillerød;2
Solrød;1. Havdrup;A;Socialdemokratiet;Thomas Adelskov, Odsherred;3
Solrød;1. Havdrup;A;Socialdemokratiet;Brian Høier, Tårnby;0
Solrød;1. Havdrup;A;Socialdemokratiet;Martin Baden, Ishøj;1
Solrød;1. Havdrup;A;Socialdemokratiet;Torben Klitmøller Hollmann, Lolland;3
Solrød;1. Havdrup;A;Socialdemokratiet;Ole Terkelsen, Valby;0
Solrød;1. Havdrup;A;Socialdemokratiet;Martin Thor Pedersen, Helsingør;0
Solrød;1. Havdrup;A;Socialdemokratiet;Katrine Skov, Gladsaxe;3
Solrød;1. Havdrup;A;Socialdemokratiet;Lisette Lind Larsen, Faxe;2
Solrød;1. Havdrup;A;Socialdemokratiet;Ulrik Juhl Hansen, Vesterbro;1
Solrød;1. Havdrup;A;Socialdemokratiet;Kirsten Rask, Kalundborg;2
Solrød;1. Havdrup;A;Socialdemokratiet;Niels Christian Dahl, Allerød;6
Solrød;1. Havdrup;A;Socialdemokratiet;Hari Neupane, Ørestad;0
Solrød;1. Havdrup;A;Socialdemokratiet;Håkon Nielsen, Rødovre;0
Solrød;1. Havdrup;A;Socialdemokratiet;Helle Lethmar, Køge;22
Solrød;1. Havdrup;A;Socialdemokratiet;Bodil Kornbek, Lyngby-Taarbæk;0
Solrød;1. Havdrup;A;Socialdemokratiet;John Hansen, Guldborgsund;3
Solrød;1. Havdrup;A;Socialdemokratiet;Kenneth Nielsen, Slagelse;0
Solrød;1. Havdrup;A;Socialdemokratiet;Claus Heje, Høje-Taastrup;1
Solrød;1. Havdrup;A;Socialdemokratiet;Rasmus Oxfeldt Larsen, Vordingborg;0
Solrød;1. Havdrup;A;Socialdemokratiet;Frederik Haugstrup Jacobsen, Østerbro;0
Solrød;1. Havdrup;A;Socialdemokratiet;Steen S. Hansen, Stevns;4
Solrød;1. Havdrup;A;Socialdemokratiet;Stina Højgaard, Greve;14
Solrød;1. Havdrup;A;Socialdemokratiet;René Vejby Kierch, Roskilde;10
Solrød;1. Havdrup;A;Socialdemokratiet;Mikkel Krog, Lejre;5
Solrød;1. Havdrup;A;Socialdemokratiet;Jan Månsson, Sorø;2
Solrød;1. Havdrup;A;Socialdemokratiet;Camilla Hoffmann, København;2
Solrød;1. Havdrup;A;Socialdemokratiet;Line Andrup, Egedal;0
Solrød;1. Havdrup;A;Socialdemokratiet;Ludwig Heldt, København;0
Solrød;1. Havdrup;A;Socialdemokratiet;Stig Ekman, Bispebjerg;0
Solrød;1. Havdrup;A;Socialdemokratiet;Alice Rudkjær, Rudersdal;0
Solrød;1. Havdrup;A;Socialdemokratiet;Mille Koch Rømer, Østerbro;0
Solrød;1. Havdrup;A;Socialdemokratiet;Dickte Noël Toft, Hørsholm;0
Solrød;1. Havdrup;A;Socialdemokratiet;Felex Pedersen, Odsherred;0
Solrød;1. Havdrup;A;Socialdemokratiet;Gitte Simoni, Roskilde;11
Solrød;1. Havdrup;B;Radikale Venstre;Listestemmer;56
Solrød;1. Havdrup;B;Radikale Venstre;Thomas Rohden, København;0
Solrød;1. Havdrup;B;Radikale Venstre;Anne Møller Ronex, Holbæk;7
Solrød;1. Havdrup;B;Radikale Venstre;Stinus Lindgreen, Lyngby-Taarbæk;2
Solrød;1. Havdrup;B;Radikale Venstre;Jeppe Fransson, Roskilde;5
Solrød;1. Havdrup;B;Radikale Venstre;Sofie Holm, København;4
Solrød;1. Havdrup;B;Radikale Venstre;Christina Thorholm, Hillerød;3
Solrød;1. Havdrup;B;Radikale Venstre;Nadeem Farooq, Høje-Taastrup;0
Solrød;1. Havdrup;B;Radikale Venstre;Tine Hessner, Furesø;0
Solrød;1. Havdrup;B;Radikale Venstre;Kristian Kirk Mailand, Bornholm;0
Solrød;1. Havdrup;B;Radikale Venstre;Freja Wirlander, Hvidovre;1
Solrød;1. Havdrup;B;Radikale Venstre;Ruben Kidde, Frederiksberg;1
Solrød;1. Havdrup;B;Radikale Venstre;Vibeke Grønbæk, Vordingborg;1
Solrød;1. Havdrup;B;Radikale Venstre;Line Krogh Lay, Stevns;4
Solrød;1. Havdrup;B;Radikale Venstre;Brian Køster, Hvidovre;0
Solrød;1. Havdrup;B;Radikale Venstre;Thomas Baark, Guldborgsund;1
Solrød;1. Havdrup;B;Radikale Venstre;Lars Hoppe Søe, Næstved;0
Solrød;1. Havdrup;B;Radikale Venstre;Jacob Netteberg, Birkerød;0
Solrød;1. Havdrup;B;Radikale Venstre;Maria Katarina Nielsen, Frederikssund;0
Solrød;1. Havdrup;B;Radikale Venstre;Søren Burcharth, København;0
Solrød;1. Havdrup;B;Radikale Venstre;Julie Herdal Molbech, København;1
Solrød;1. Havdrup;B;Radikale Venstre;Anders Medum Groth, Furesø;0
Solrød;1. Havdrup;B;Radikale Venstre;Søs Haugaard, København;0
Solrød;1. Havdrup;B;Radikale Venstre;Kim Pagels, Solrød;15
Solrød;1. Havdrup;B;Radikale Venstre;Jørgen Suhr, Hillerød;0
Solrød;1. Havdrup;B;Radikale Venstre;Martin Schepelern, København;0
Solrød;1. Havdrup;B;Radikale Venstre;Christian Fink Elkjær, Rudersdal;1
Solrød;1. Havdrup;B;Radikale Venstre;Peter L. Sørensen, Gribskov;1
Solrød;1. Havdrup;B;Radikale Venstre;Gitte Kjær-Westermann, Lyngby-Taarbæk;0
Solrød;1. Havdrup;B;Radikale Venstre;Kim Mandix, København;0
Solrød;1. Havdrup;B;Radikale Venstre;Rikke Mortensen, Egedal;0
Solrød;1. Havdrup;B;Radikale Venstre;Trine Dybkjær, Gentofte;0
Solrød;1. Havdrup;B;Radikale Venstre;Marianne Bredgaard Karlsson, Fredensborg;0
Solrød;1. Havdrup;B;Radikale Venstre;Christina Falkberg, Gladsaxe;2
Solrød;1. Havdrup;B;Radikale Venstre;Kashif Ahmad, København;1
Solrød;1. Havdrup;B;Radikale Venstre;Irfan Gilani, Brøndby;2
Solrød;1. Havdrup;B;Radikale Venstre;Edris Qasimi, Sorø;0
Solrød;1. Havdrup;B;Radikale Venstre;Lartey Lawson, København;0
Solrød;1. Havdrup;B;Radikale Venstre;Oruc Polat, Albertslund;0
Solrød;1. Havdrup;B;Radikale Venstre;Merete Them Kjølholm, Allerød;0
Solrød;1. Havdrup;B;Radikale Venstre;Jesper Luthman, Espergærde;0
Solrød;1. Havdrup;B;Radikale Venstre;Bjørn Bjerrehøj, Tårnby;0
Solrød;1. Havdrup;B;Radikale Venstre;Claus Rehfeld, København;0
Solrød;1. Havdrup;B;Radikale Venstre;Charlotte Saabye Sørensen, København N;0
Solrød;1. Havdrup;B;Radikale Venstre;Lars Green Bach, Ballerup;0
Solrød;1. Havdrup;B;Radikale Venstre;Claus Wachmann, Gladsaxe;0
Solrød;1. Havdrup;B;Radikale Venstre;Alina Protsyk, København;0
Solrød;1. Havdrup;B;Radikale Venstre;Marianne Fritzen, Odsherred;1
Solrød;1. Havdrup;B;Radikale Venstre;Emilie U. Andersen-Ranberg, Hørsholm;4
Solrød;1. Havdrup;B;Radikale Venstre;Magnus Dræby, Halsnæs;1
Solrød;1. Havdrup;B;Radikale Venstre;Knud Mogensen, Helsingør;0
Solrød;1. Havdrup;B;Radikale Venstre;Emilie Borch Sloth, Glostrup;0
Solrød;1. Havdrup;C;Det Konservative Folkeparti;Listestemmer;107
Solrød;1. Havdrup;C;Det Konservative Folkeparti;Christoffer Buster Reinhardt, Rudersdal;4
Solrød;1. Havdrup;C;Det Konservative Folkeparti;Line Ervolder, København;4
Solrød;1. Havdrup;C;Det Konservative Folkeparti;Christian Wedell-Neergaard, Køge;22
Solrød;1. Havdrup;C;Det Konservative Folkeparti;Jesper Marcus, Gentofte;1
Solrød;1. Havdrup;C;Det Konservative Folkeparti;Christian Vigilius, Gentofte;0
Solrød;1. Havdrup;C;Det Konservative Folkeparti;Tina-Mia Eriksen, Ringsted;5
Solrød;1. Havdrup;C;Det Konservative Folkeparti;Turan Akbulut, Høje-Taastrup;2
Solrød;1. Havdrup;C;Det Konservative Folkeparti;Jacob Rosenberg, Frederiksberg;1
Solrød;1. Havdrup;C;Det Konservative Folkeparti;Stine Østlund, Hillerød;0
Solrød;1. Havdrup;C;Det Konservative Folkeparti;Mogens Anneberg, Bornholm;0
Solrød;1. Havdrup;C;Det Konservative Folkeparti;Helge Adam Møller, Næstved;8
Solrød;1. Havdrup;C;Det Konservative Folkeparti;Kenneth Gøtterup, Amager;0
Solrød;1. Havdrup;C;Det Konservative Folkeparti;Dorte Vilhelmsen, Herlev;0
Solrød;1. Havdrup;C;Det Konservative Folkeparti;Jørgen Johansen, Allerød;1
Solrød;1. Havdrup;C;Det Konservative Folkeparti;Mogens Hallager, Roskilde;1
Solrød;1. Havdrup;C;Det Konservative Folkeparti;Søren Friis Trebbien, Hvidovre;1
Solrød;1. Havdrup;C;Det Konservative Folkeparti;Maj Allin Thorup, Hørsholm;1
Solrød;1. Havdrup;C;Det Konservative Folkeparti;Patrick Lehto, Tårnby;0
Solrød;1. Havdrup;C;Det Konservative Folkeparti;John Tefke, Lyngby;0
Solrød;1. Havdrup;C;Det Konservative Folkeparti;Lars Carstensen, Furesø;0
Solrød;1. Havdrup;C;Det Konservative Folkeparti;Rico Djernis, København;0
Solrød;1. Havdrup;C;Det Konservative Folkeparti;Trine Egetved, Gribskov;2
Solrød;1. Havdrup;C;Det Konservative Folkeparti;Rebecca Plomin, Gladsaxe;1
Solrød;1. Havdrup;C;Det Konservative Folkeparti;Mette Aagaard, Lolland;2
Solrød;1. Havdrup;C;Det Konservative Folkeparti;Michael Mathiesen, Helsingør;0
Solrød;1. Havdrup;C;Det Konservative Folkeparti;Vilhelm Møller, Faxe;0
Solrød;1. Havdrup;C;Det Konservative Folkeparti;Birgitte Neergaard-Kofod, Egedal;0
Solrød;1. Havdrup;C;Det Konservative Folkeparti;Thomas Christophersen, Holbæk;0
Solrød;1. Havdrup;C;Det Konservative Folkeparti;Celine Lind Jakobsen, Fredensborg;0
Solrød;1. Havdrup;C;Det Konservative Folkeparti;Claus Neergaard, Næstved;0
Solrød;1. Havdrup;C;Det Konservative Folkeparti;Jan H. Klit, København;0
Solrød;1. Havdrup;C;Det Konservative Folkeparti;Therese Hejnfelt, Frederikssund;0
Solrød;1. Havdrup;C;Det Konservative Folkeparti;Carsten Petersen, Sorø;5
Solrød;1. Havdrup;C;Det Konservative Folkeparti;Camilla Sabroe Parbst, Roskilde;2
Solrød;1. Havdrup;C;Det Konservative Folkeparti;Frederik Germann, Halsnæs;0
Solrød;1. Havdrup;C;Det Konservative Folkeparti;Jesper Adler, Vordingborg;0
Solrød;1. Havdrup;C;Det Konservative Folkeparti;Thomas von Jessen, Fredensborg;0
Solrød;1. Havdrup;C;Det Konservative Folkeparti;Ali Ünsal, Køge;2
Solrød;1. Havdrup;C;Det Konservative Folkeparti;Henrik Jacobsen, Lolland;0
Solrød;1. Havdrup;C;Det Konservative Folkeparti;Jesper Tvilde, Fredensborg;0
Solrød;1. Havdrup;C;Det Konservative Folkeparti;Egon Bo, Slagelse;0
Solrød;1. Havdrup;C;Det Konservative Folkeparti;Kim Drejer Nielsen, Rødovre;0
Solrød;1. Havdrup;C;Det Konservative Folkeparti;Peter Horsted Hansen, Odsherred;0
Solrød;1. Havdrup;C;Det Konservative Folkeparti;Jane Christensen, Kalundborg;0
Solrød;1. Havdrup;C;Det Konservative Folkeparti;Jess Eiberg Hansen, Greve;0
Solrød;1. Havdrup;C;Det Konservative Folkeparti;Jan Færch, Solrød;35
Solrød;1. Havdrup;C;Det Konservative Folkeparti;Simon Krabbe, Ballerup;1
Solrød;1. Havdrup;C;Det Konservative Folkeparti;Ida Busk, København;0
Solrød;1. Havdrup;C;Det Konservative Folkeparti;Victoria Helene Olsen, Roskilde;1
Solrød;1. Havdrup;C;Det Konservative Folkeparti;Mathias Schwartz Kirkegaard, Greve;0
Solrød;1. Havdrup;C;Det Konservative Folkeparti;Egil Hulgaard, Furesø;2
Solrød;1. Havdrup;F;SF - Socialistisk Folkeparti;Listestemmer;147
Solrød;1. Havdrup;F;SF - Socialistisk Folkeparti;Peter Westermann, København;7
Solrød;1. Havdrup;F;SF - Socialistisk Folkeparti;Hanne Svenningsen, Lejre;16
Solrød;1. Havdrup;F;SF - Socialistisk Folkeparti;Sadek Al-Amood, Valby;0
Solrød;1. Havdrup;F;SF - Socialistisk Folkeparti;Emilie Esmann, Amager;3
Solrød;1. Havdrup;F;SF - Socialistisk Folkeparti;Julie Hoff Sørensen, Stevns;8
Solrød;1. Havdrup;F;SF - Socialistisk Folkeparti;Anja Rosengreen, Halsnæs;2
Solrød;1. Havdrup;F;SF - Socialistisk Folkeparti;Phillip Bergenhammer Østergaard, Tårnby;0
Solrød;1. Havdrup;F;SF - Socialistisk Folkeparti;Joan Kragh, Guldborgsund;3
Solrød;1. Havdrup;F;SF - Socialistisk Folkeparti;Thomas Garfort, Rønne;0
Solrød;1. Havdrup;F;SF - Socialistisk Folkeparti;Trine Schaltz, København;1
Solrød;1. Havdrup;F;SF - Socialistisk Folkeparti;Kirsten Balle, Herlev;0
Solrød;1. Havdrup;F;SF - Socialistisk Folkeparti;Maja Roesen, Køge;21
Solrød;1. Havdrup;F;SF - Socialistisk Folkeparti;Frank Hedegaard, København;0
Solrød;1. Havdrup;F;SF - Socialistisk Folkeparti;Bente Borg Donkin, Helsingør;0
Solrød;1. Havdrup;F;SF - Socialistisk Folkeparti;Kim Elmose, Roskilde;4
Solrød;1. Havdrup;F;SF - Socialistisk Folkeparti;Poul Reher Jensen, Gladsaxe;0
Solrød;1. Havdrup;F;SF - Socialistisk Folkeparti;Eva Larsen, Greve;4
Solrød;1. Havdrup;F;SF - Socialistisk Folkeparti;Christina Dilling-Munk, Ringsted;1
Solrød;1. Havdrup;F;SF - Socialistisk Folkeparti;Olaf Johansen, Slagelse;0
Solrød;1. Havdrup;F;SF - Socialistisk Folkeparti;Ken Patrick Petersson, Taastrup;0
Solrød;1. Havdrup;F;SF - Socialistisk Folkeparti;Vagn Kjær-Hansen, Brøndby;0
Solrød;1. Havdrup;F;SF - Socialistisk Folkeparti;Jonas Niemann, Gentofte;1
Solrød;1. Havdrup;F;SF - Socialistisk Folkeparti;Marie-Louise Jørgensen, Hvidovre;1
Solrød;1. Havdrup;F;SF - Socialistisk Folkeparti;Jette Leth Buhl, Næstved;1
Solrød;1. Havdrup;F;SF - Socialistisk Folkeparti;Jan Kjældgaard, Farum;0
Solrød;1. Havdrup;F;SF - Socialistisk Folkeparti;Lars Christiansen, Maribo;1
Solrød;1. Havdrup;F;SF - Socialistisk Folkeparti;Torben Kjeldsen, Rørvig;0
Solrød;1. Havdrup;I;Liberal Alliance;Listestemmer;233
Solrød;1. Havdrup;I;Liberal Alliance;Dorthe Mikkelsen, Vallensbæk;6
Solrød;1. Havdrup;I;Liberal Alliance;Nicolai Wang, København;8
Solrød;1. Havdrup;I;Liberal Alliance;Villum Christensen, Slagelse;4
Solrød;1. Havdrup;I;Liberal Alliance;Johannes Grand, Ballerup;0
Solrød;1. Havdrup;I;Liberal Alliance;Klaus Kristiansen, Lejre;7
Solrød;1. Havdrup;I;Liberal Alliance;Lasse Holt, Lyngby-Taarbæk;0
Solrød;1. Havdrup;I;Liberal Alliance;Eik Dahl Bidstrup, Dragør;0
Solrød;1. Havdrup;I;Liberal Alliance;Robert Mørck, Furesø;0
Solrød;1. Havdrup;I;Liberal Alliance;Peter Dits Christensen, Solrød;110
Solrød;1. Havdrup;I;Liberal Alliance;Lars Winther, Egedal;2
Solrød;1. Havdrup;I;Liberal Alliance;Patrizia Venturelli Christensen, Gentofte;2
Solrød;1. Havdrup;I;Liberal Alliance;Sten Schmidl Søbjærg, Gribskov;0
Solrød;1. Havdrup;I;Liberal Alliance;Frederik Tuxen Bjerrum, Frederiksberg;0
Solrød;1. Havdrup;I;Liberal Alliance;Flemming Sørensen, Holbæk;2
Solrød;1. Havdrup;I;Liberal Alliance;Michael Rask, Greve;13
Solrød;1. Havdrup;I;Liberal Alliance;Steen Tofteng, Gribskov;1
Solrød;1. Havdrup;I;Liberal Alliance;Gert L. Heglund, Gentofte;0
Solrød;1. Havdrup;I;Liberal Alliance;Søren Kragh, Sorø;0
Solrød;1. Havdrup;J;Demokraterne - hele Danmark skal leve;Listestemmer;8
Solrød;1. Havdrup;J;Demokraterne - hele Danmark skal leve;Lave Knud Broch;1
Solrød;1. Havdrup;J;Demokraterne - hele Danmark skal leve;Lasse Larsen;0
Solrød;1. Havdrup;J;Demokraterne - hele Danmark skal leve;Elisabeth Bergsøe;1
Solrød;1. Havdrup;J;Demokraterne - hele Danmark skal leve;Michaell Ravn;0
Solrød;1. Havdrup;J;Demokraterne - hele Danmark skal leve;Jesper Morville;0
Solrød;1. Havdrup;K;Kristendemokraterne;Listestemmer;2
Solrød;1. Havdrup;K;Kristendemokraterne;Jesper Housgaard;0
Solrød;1. Havdrup;K;Kristendemokraterne;Axel Ljungquist;0
Solrød;1. Havdrup;K;Kristendemokraterne;Bjarne Hartung Kirkegaard;0
Solrød;1. Havdrup;K;Kristendemokraterne;Eva Guldfred;1
Solrød;1. Havdrup;K;Kristendemokraterne;Cæcilia Nilsson;1
Solrød;1. Havdrup;K;Kristendemokraterne;Britta Kristensen;0
Solrød;1. Havdrup;K;Kristendemokraterne;Finn Andersen;0
Solrød;1. Havdrup;K;Kristendemokraterne;Johnnie Gregersen;0
Solrød;1. Havdrup;K;Kristendemokraterne;Kurt Pedersen;0
Solrød;1. Havdrup;K;Kristendemokraterne;Mogens Riis Pedersen;0
Solrød;1. Havdrup;K;Kristendemokraterne;Niels Chresten Andersen;0
Solrød;1. Havdrup;L;Bylisten;Listestemmer;3
Solrød;1. Havdrup;L;Bylisten;Nicolai Otto Mønsted Hermansen;0
Solrød;1. Havdrup;L;Bylisten;Lars Thomsen;2
Solrød;1. Havdrup;L;Bylisten;Mette Strange Hagen;1
Solrød;1. Havdrup;L;Bylisten;Sabine Lind;1
Solrød;1. Havdrup;L;Bylisten;Ditte Sieling Emanuel;0
Solrød;1. Havdrup;L;Bylisten;Lise-Lotte Dahlgaard Mortensen;1
Solrød;1. Havdrup;L;Bylisten;Don Winther;0
Solrød;1. Havdrup;L;Bylisten;Abaz Sabani;0
Solrød;1. Havdrup;L;Bylisten;Carsten Bardy Aaen;0
Solrød;1. Havdrup;L;Bylisten;Imad Daher;0
Solrød;1. Havdrup;M;Moderaterne;Listestemmer;16
Solrød;1. Havdrup;M;Moderaterne;Rasmus Lund-Nielsen, Gladsaxe;0
Solrød;1. Havdrup;M;Moderaterne;Charlotte Bagge, Stege;2
Solrød;1. Havdrup;M;Moderaterne;Lars Lindskov, Roskilde;7
Solrød;1. Havdrup;M;Moderaterne;Lisbeth Dam Larsen, Dragør;2
Solrød;1. Havdrup;M;Moderaterne;Bergur Løkke Rasmussen, Helsingør;3
Solrød;1. Havdrup;M;Moderaterne;Deniz Kücükavci, Herlev;0
Solrød;1. Havdrup;M;Moderaterne;Dorthe Beck-Nyling, København;0
Solrød;1. Havdrup;M;Moderaterne;Søren Hyldgaard, Rudersdal;0
Solrød;1. Havdrup;M;Moderaterne;Kurt Pii, Frederiksberg;0
Solrød;1. Havdrup;M;Moderaterne;Jeanette Vedelstjerne, Lyngby-Taarbæk;0
Solrød;1. Havdrup;M;Moderaterne;Rasmus Meggele Stein, Stevns;0
Solrød;1. Havdrup;M;Moderaterne;Mia Linda Møller, Næstved;1
Solrød;1. Havdrup;M;Moderaterne;Josée Linnemann, Fredensborg;0
Solrød;1. Havdrup;M;Moderaterne;Zishan Ali, Ballerup;3
Solrød;1. Havdrup;M;Moderaterne;Mads Søe Daugaard, Kalundborg;0
Solrød;1. Havdrup;M;Moderaterne;Jan Carlsen, Roskilde;0
Solrød;1. Havdrup;M;Moderaterne;René Arnt, Taastrup;1
Solrød;1. Havdrup;M;Moderaterne;Emin Bülent Kaya, Køge;0
Solrød;1. Havdrup;M;Moderaterne;Andreas Raben, København;0
Solrød;1. Havdrup;M;Moderaterne;Rasmus Abrahamsen, Greve;0
Solrød;1. Havdrup;M;Moderaterne;Erik Moesby Nordstrøm, Furesø;1
Solrød;1. Havdrup;M;Moderaterne;Klavs A. Holm, Hellerup;0
Solrød;1. Havdrup;N;Nyt Sjælland;Listestemmer;5
Solrød;1. Havdrup;N;Nyt Sjælland;Malene Holm, København;0
Solrød;1. Havdrup;N;Nyt Sjælland;Liselott Blixt, Greve;6
Solrød;1. Havdrup;N;Nyt Sjælland;Annelise Madsen, Ishøj;6
Solrød;1. Havdrup;N;Nyt Sjælland;Katrine Ehlern, København;0
Solrød;1. Havdrup;N;Nyt Sjælland;Bachir Belmajdoub, København;0
Solrød;1. Havdrup;N;Nyt Sjælland;Eva Fotland, København;0
Solrød;1. Havdrup;N;Nyt Sjælland;Benny Hansen, Ishøj;0
Solrød;1. Havdrup;N;Nyt Sjælland;Knud Rasmussen, Solrød;1
Solrød;1. Havdrup;O;Dansk Folkeparti;Listestemmer;126
Solrød;1. Havdrup;O;Dansk Folkeparti;Pia Kjærsgaard;331
Solrød;1. Havdrup;O;Dansk Folkeparti;Jan Herskov;2
Solrød;1. Havdrup;O;Dansk Folkeparti;Julie Jacobsen;1
Solrød;1. Havdrup;O;Dansk Folkeparti;John Vind;0
Solrød;1. Havdrup;O;Dansk Folkeparti;Søren Lund Hansen;4
Solrød;1. Havdrup;O;Dansk Folkeparti;Nickolai Hamann;0
Solrød;1. Havdrup;O;Dansk Folkeparti;Nana Harring;2
Solrød;1. Havdrup;O;Dansk Folkeparti;René Danielsson;0
Solrød;1. Havdrup;O;Dansk Folkeparti;Jette Juul;2
Solrød;1. Havdrup;O;Dansk Folkeparti;Gert Løfgren;0
Solrød;1. Havdrup;O;Dansk Folkeparti;Jan Erik Messmann;1
Solrød;1. Havdrup;O;Dansk Folkeparti;Githa Nelander;0
Solrød;1. Havdrup;O;Dansk Folkeparti;Martin Rosbjørn;1
Solrød;1. Havdrup;O;Dansk Folkeparti;Anette Skafte;1
Solrød;1. Havdrup;O;Dansk Folkeparti;Kristian Tørning;0
Solrød;1. Havdrup;O;Dansk Folkeparti;David Gerschwald;0
Solrød;1. Havdrup;O;Dansk Folkeparti;Søsser Grønnegård;2
Solrød;1. Havdrup;O;Dansk Folkeparti;Allan Øster Steensen;0
Solrød;1. Havdrup;O;Dansk Folkeparti;Auli Romanow;0
Solrød;1. Havdrup;O;Dansk Folkeparti;Allan Blak;2
Solrød;1. Havdrup;O;Dansk Folkeparti;Mikkel Hartwich;1
Solrød;1. Havdrup;O;Dansk Folkeparti;Steen Løfstrøm;0
Solrød;1. Havdrup;P;DKP - Kommunisterne;Listestemmer;4
Solrød;1. Havdrup;P;DKP - Kommunisterne;Rikke Galina Frydensbjerg Carlsson;0
Solrød;1. Havdrup;P;DKP - Kommunisterne;Kim W. Bilfeldt;0
Solrød;1. Havdrup;P;DKP - Kommunisterne;Lars Emanuel;0
Solrød;1. Havdrup;P;DKP - Kommunisterne;Hans Nielsen;0
Solrød;1. Havdrup;P;DKP - Kommunisterne;Sine Bilfeldt;0
Solrød;1. Havdrup;P;DKP - Kommunisterne;B. Tscherning;0
Solrød;1. Havdrup;R;Kommunistisk Parti;Listestemmer;1
Solrød;1. Havdrup;R;Kommunistisk Parti;Claus Carlsen, Roskilde;0
Solrød;1. Havdrup;R;Kommunistisk Parti;Klara Poder, Rødovre;0
Solrød;1. Havdrup;R;Kommunistisk Parti;Ravin Gomei, Roskilde;0
Solrød;1. Havdrup;R;Kommunistisk Parti;Niklas Svenningsen, Nivå;0
Solrød;1. Havdrup;R;Kommunistisk Parti;Rosa Mørch Jørgensen, København S;0
Solrød;1. Havdrup;R;Kommunistisk Parti;Rune Jørgensen, København Ø;0
Solrød;1. Havdrup;R;Kommunistisk Parti;Kim Lykkegaard, København N;0
Solrød;1. Havdrup;R;Kommunistisk Parti;Magnus Mørk, Hårlev;0
Solrød;1. Havdrup;T;Sydhavslisten;Listestemmer;0
Solrød;1. Havdrup;T;Sydhavslisten;Karen Esmark Hansen;0
Solrød;1. Havdrup;T;Sydhavslisten;Kasper Ibsen;1
Solrød;1. Havdrup;U;Alliancen for Børnene, Ungdommen og Fremtiden;Listestemmer;2
Solrød;1. Havdrup;U;Alliancen for Børnene, Ungdommen og Fremtiden;Flemming Blicher;1
Solrød;1. Havdrup;U;Alliancen for Børnene, Ungdommen og Fremtiden;Henrik Vendelbo Petersen;0
Solrød;1. Havdrup;U;Alliancen for Børnene, Ungdommen og Fremtiden;Markus Hvass;1
Solrød;1. Havdrup;V;Venstre, Danmarks Liberale Parti;Listestemmer;228
Solrød;1. Havdrup;V;Venstre, Danmarks Liberale Parti;Camilla Hove Lund, Holbæk;31
Solrød;1. Havdrup;V;Venstre, Danmarks Liberale Parti;Randi Mondorf, Rudersdal;2
Solrød;1. Havdrup;V;Venstre, Danmarks Liberale Parti;Iben Krog, København;7
Solrød;1. Havdrup;V;Venstre, Danmarks Liberale Parti;Christine Dal Thrane, Lyngby-Taarbæk;2
Solrød;1. Havdrup;V;Venstre, Danmarks Liberale Parti;Anders Koefoed, Slagelse;6
Solrød;1. Havdrup;V;Venstre, Danmarks Liberale Parti;Bent Jørgensen, Roskilde;7
Solrød;1. Havdrup;V;Venstre, Danmarks Liberale Parti;Josefine Paaske, Køge;8
Solrød;1. Havdrup;V;Venstre, Danmarks Liberale Parti;Flemming Damgaard Larsen, Lejre;9
Solrød;1. Havdrup;V;Venstre, Danmarks Liberale Parti;Claus Ljungberg Jørgensen, København;0
Solrød;1. Havdrup;V;Venstre, Danmarks Liberale Parti;Bjarne Kongsted, Holbæk;3
Solrød;1. Havdrup;V;Venstre, Danmarks Liberale Parti;Søren Vang Fischer, Kalundborg;3
Solrød;1. Havdrup;V;Venstre, Danmarks Liberale Parti;Rikke Engelbrecht Andersen, Næstved;1
Solrød;1. Havdrup;V;Venstre, Danmarks Liberale Parti;Mark Bjerre Ebbesen, Køge;5
Solrød;1. Havdrup;V;Venstre, Danmarks Liberale Parti;Lone Mortensen, Greve;8
Solrød;1. Havdrup;V;Venstre, Danmarks Liberale Parti;Claus Bakke, Vordingborg;6
Solrød;1. Havdrup;V;Venstre, Danmarks Liberale Parti;John Schmidt Andersen, Frederikssund;0
Solrød;1. Havdrup;V;Venstre, Danmarks Liberale Parti;Mads Justsen, Gentofte;1
Solrød;1. Havdrup;V;Venstre, Danmarks Liberale Parti;Morten Bille, Ullerød;0
Solrød;1. Havdrup;V;Venstre, Danmarks Liberale Parti;Per Roswall, Gribskov;0
