Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Gymnasiet;A;Socialdemokratiet;Listestemmer;428
1. Gymnasiet;A;Socialdemokratiet;Uffe Steiner Jensen;1075
1. Gymnasiet;A;Socialdemokratiet;Henning Due Lorentzen;145
1. Gymnasiet;A;Socialdemokratiet;Bente Ankersen;128
1. Gymnasiet;A;Socialdemokratiet;Søren Larsen;154
1. Gymnasiet;A;Socialdemokratiet;Turan Savas;140
1. Gymnasiet;A;Socialdemokratiet;Lisbeth Christensen;49
1. Gymnasiet;A;Socialdemokratiet;Christina Hansen;37
1. Gymnasiet;A;Socialdemokratiet;Lone Føns Pedersen;24
1. Gymnasiet;A;Socialdemokratiet;Michael Tøffner;52
1. Gymnasiet;A;Socialdemokratiet;John Bech Hansen;66
1. Gymnasiet;A;Socialdemokratiet;Niels Middelbo;43
1. Gymnasiet;A;Socialdemokratiet;Christian Bro;32
1. Gymnasiet;A;Socialdemokratiet;Lars Ejby Pedersen;81
1. Gymnasiet;A;Socialdemokratiet;Grethe Jørgensen;28
1. Gymnasiet;A;Socialdemokratiet;Dennis Nielsen;23
1. Gymnasiet;A;Socialdemokratiet;Bent Ole Mortensen;17
1. Gymnasiet;A;Socialdemokratiet;Grethe Lund Andersen;9
1. Gymnasiet;A;Socialdemokratiet;Gunnar Christiansen;7
1. Gymnasiet;A;Socialdemokratiet;Peter Jacobsen;16
1. Gymnasiet;A;Socialdemokratiet;Mads Ole Astrup;20
1. Gymnasiet;A;Socialdemokratiet;Rasmus Nielsen;34
1. Gymnasiet;A;Socialdemokratiet;Birgit Pedersen;8
1. Gymnasiet;A;Socialdemokratiet;David Ramm;5
1. Gymnasiet;A;Socialdemokratiet;Poul Fisker Andersen;16
1. Gymnasiet;A;Socialdemokratiet;Margit Søby Hinkler;2
1. Gymnasiet;B;Det Radikale Venstre;Listestemmer;59
1. Gymnasiet;B;Det Radikale Venstre;Hans-Jørgen Jagd;25
1. Gymnasiet;B;Det Radikale Venstre;Jon Lykke Davidsen;3
1. Gymnasiet;B;Det Radikale Venstre;Jan Walther Nielsen;5
1. Gymnasiet;B;Det Radikale Venstre;Ole Bech;5
1. Gymnasiet;C;Det Konservative Folkeparti;Listestemmer;104
1. Gymnasiet;C;Det Konservative Folkeparti;Jill D. Andersen;97
1. Gymnasiet;C;Det Konservative Folkeparti;Poul Sørensen;33
1. Gymnasiet;C;Det Konservative Folkeparti;Helle Romedahl;27
1. Gymnasiet;C;Det Konservative Folkeparti;Conni Rosendahl;40
1. Gymnasiet;C;Det Konservative Folkeparti;Simon Aggesen;24
1. Gymnasiet;C;Det Konservative Folkeparti;Birger Larsen;13
1. Gymnasiet;C;Det Konservative Folkeparti;Finn Østergaard;5
1. Gymnasiet;F;Socialistisk Folkeparti;Listestemmer;157
1. Gymnasiet;F;Socialistisk Folkeparti;Jane Findahl;528
1. Gymnasiet;F;Socialistisk Folkeparti;Ivan Toftgaard;94
1. Gymnasiet;F;Socialistisk Folkeparti;Marianne Thomsen;51
1. Gymnasiet;F;Socialistisk Folkeparti;Mathias Varming;19
1. Gymnasiet;F;Socialistisk Folkeparti;Dorte Henschke;7
1. Gymnasiet;F;Socialistisk Folkeparti;Iraj Kiani;4
1. Gymnasiet;F;Socialistisk Folkeparti;Jan R. Kelgren;23
1. Gymnasiet;F;Socialistisk Folkeparti;Henning L. Troelsen;13
1. Gymnasiet;F;Socialistisk Folkeparti;Ina Skovsbo;4
1. Gymnasiet;F;Socialistisk Folkeparti;Dubravka Laursen;7
1. Gymnasiet;F;Socialistisk Folkeparti;Bolette Riel;8
1. Gymnasiet;F;Socialistisk Folkeparti;Tommy Skov;3
1. Gymnasiet;F;Socialistisk Folkeparti;Dorte Ravn Lauridsen;6
1. Gymnasiet;F;Socialistisk Folkeparti;Steen Jørgensen;4
1. Gymnasiet;F;Socialistisk Folkeparti;Grethe Jensen;4
1. Gymnasiet;F;Socialistisk Folkeparti;René Ganzhorn Jensen;11
1. Gymnasiet;F;Socialistisk Folkeparti;Evald Lauridsen;4
1. Gymnasiet;F;Socialistisk Folkeparti;Johnny Madsen;1
1. Gymnasiet;F;Socialistisk Folkeparti;Ove Kristiansen;2
1. Gymnasiet;I;Borgergruppen;Listestemmer;93
1. Gymnasiet;I;Borgergruppen;Mads Lund;134
1. Gymnasiet;I;Borgergruppen;Henrik Juul Krogh;63
1. Gymnasiet;I;Borgergruppen;Henrik Steenbach;30
1. Gymnasiet;I;Borgergruppen;Karsten Rasmussen;11
1. Gymnasiet;I;Borgergruppen;Grethe Marthinus;13
1. Gymnasiet;I;Borgergruppen;Jens Østrup;20
1. Gymnasiet;J;Jimmys Liste;Listestemmer;2
1. Gymnasiet;J;Jimmys Liste;Jimmy Rasmussen;10
1. Gymnasiet;K;Kristendemokraterne;Listestemmer;21
1. Gymnasiet;K;Kristendemokraterne;Peder Tind;114
1. Gymnasiet;K;Kristendemokraterne;Ruth Fibiger Olesen;33
1. Gymnasiet;K;Kristendemokraterne;Allan Tind;4
1. Gymnasiet;K;Kristendemokraterne;Henrik Klitlund Nielsen;9
1. Gymnasiet;K;Kristendemokraterne;Ester Kofoed;10
1. Gymnasiet;O;Dansk Folkeparti;Listestemmer;281
1. Gymnasiet;O;Dansk Folkeparti;Johnny Majgård;96
1. Gymnasiet;O;Dansk Folkeparti;Kurt Halling;37
1. Gymnasiet;O;Dansk Folkeparti;Grethe Fangel;90
1. Gymnasiet;O;Dansk Folkeparti;Ralph Adler;8
1. Gymnasiet;O;Dansk Folkeparti;Susanne Eilersen;44
1. Gymnasiet;O;Dansk Folkeparti;Tage Christensen;7
1. Gymnasiet;P;Aktive Pensionister;Listestemmer;39
1. Gymnasiet;P;Aktive Pensionister;Karl-Ejner Pedersen;73
1. Gymnasiet;P;Aktive Pensionister;Finn-Rudolf Reif;62
1. Gymnasiet;P;Aktive Pensionister;Erna Svendsen;6
1. Gymnasiet;P;Aktive Pensionister;Leif Dam;7
1. Gymnasiet;P;Aktive Pensionister;Anita Sørensen;3
1. Gymnasiet;V;Venstre, Danmarks Liberale Parti;Listestemmer;350
1. Gymnasiet;V;Venstre, Danmarks Liberale Parti;Peder Hvejsel;243
1. Gymnasiet;V;Venstre, Danmarks Liberale Parti;Else Marie Vind;51
1. Gymnasiet;V;Venstre, Danmarks Liberale Parti;Dennis Thomsen;15
1. Gymnasiet;V;Venstre, Danmarks Liberale Parti;Tone Eidnes Andersen;88
1. Gymnasiet;V;Venstre, Danmarks Liberale Parti;John Bader;206
1. Gymnasiet;V;Venstre, Danmarks Liberale Parti;Claus Jørgensen;24
1. Gymnasiet;V;Venstre, Danmarks Liberale Parti;Hanne Lumby;68
1. Gymnasiet;V;Venstre, Danmarks Liberale Parti;Thomas Banke;66
1. Gymnasiet;V;Venstre, Danmarks Liberale Parti;Børge Larsen;26
1. Gymnasiet;V;Venstre, Danmarks Liberale Parti;Vagn Ove Nielsen;7
1. Gymnasiet;V;Venstre, Danmarks Liberale Parti;Hanne Andersen;14
1. Gymnasiet;V;Venstre, Danmarks Liberale Parti;Kenny Bruun Olsen;36
1. Gymnasiet;V;Venstre, Danmarks Liberale Parti;Søren S. Hansen;3
1. Gymnasiet;Ø;Enhedslisten-De Rød-Grønne;Listestemmer;34
1. Gymnasiet;Ø;Enhedslisten-De Rød-Grønne;Kim Fonvig;33
1. Gymnasiet;Ø;Enhedslisten-De Rød-Grønne;Mai-Britt Bjørholm Madsen;10
1. Gymnasiet;Ø;Enhedslisten-De Rød-Grønne;Bent Bregendahl;2
2. Bredstrup-Pjedsted;A;Socialdemokratiet;Listestemmer;31
2. Bredstrup-Pjedsted;A;Socialdemokratiet;Uffe Steiner Jensen;112
2. Bredstrup-Pjedsted;A;Socialdemokratiet;Henning Due Lorentzen;19
2. Bredstrup-Pjedsted;A;Socialdemokratiet;Bente Ankersen;6
2. Bredstrup-Pjedsted;A;Socialdemokratiet;Søren Larsen;10
2. Bredstrup-Pjedsted;A;Socialdemokratiet;Turan Savas;4
2. Bredstrup-Pjedsted;A;Socialdemokratiet;Lisbeth Christensen;13
2. Bredstrup-Pjedsted;A;Socialdemokratiet;Christina Hansen;2
2. Bredstrup-Pjedsted;A;Socialdemokratiet;Lone Føns Pedersen;4
2. Bredstrup-Pjedsted;A;Socialdemokratiet;Michael Tøffner;1
2. Bredstrup-Pjedsted;A;Socialdemokratiet;John Bech Hansen;19
2. Bredstrup-Pjedsted;A;Socialdemokratiet;Niels Middelbo;2
2. Bredstrup-Pjedsted;A;Socialdemokratiet;Christian Bro;1
2. Bredstrup-Pjedsted;A;Socialdemokratiet;Lars Ejby Pedersen;1
2. Bredstrup-Pjedsted;A;Socialdemokratiet;Grethe Jørgensen;1
2. Bredstrup-Pjedsted;A;Socialdemokratiet;Dennis Nielsen;2
2. Bredstrup-Pjedsted;A;Socialdemokratiet;Bent Ole Mortensen;2
2. Bredstrup-Pjedsted;A;Socialdemokratiet;Grethe Lund Andersen;0
2. Bredstrup-Pjedsted;A;Socialdemokratiet;Gunnar Christiansen;2
2. Bredstrup-Pjedsted;A;Socialdemokratiet;Peter Jacobsen;1
2. Bredstrup-Pjedsted;A;Socialdemokratiet;Mads Ole Astrup;0
2. Bredstrup-Pjedsted;A;Socialdemokratiet;Rasmus Nielsen;4
2. Bredstrup-Pjedsted;A;Socialdemokratiet;Birgit Pedersen;0
2. Bredstrup-Pjedsted;A;Socialdemokratiet;David Ramm;0
2. Bredstrup-Pjedsted;A;Socialdemokratiet;Poul Fisker Andersen;0
2. Bredstrup-Pjedsted;A;Socialdemokratiet;Margit Søby Hinkler;0
2. Bredstrup-Pjedsted;B;Det Radikale Venstre;Listestemmer;12
2. Bredstrup-Pjedsted;B;Det Radikale Venstre;Hans-Jørgen Jagd;2
2. Bredstrup-Pjedsted;B;Det Radikale Venstre;Jon Lykke Davidsen;1
2. Bredstrup-Pjedsted;B;Det Radikale Venstre;Jan Walther Nielsen;1
2. Bredstrup-Pjedsted;B;Det Radikale Venstre;Ole Bech;1
2. Bredstrup-Pjedsted;C;Det Konservative Folkeparti;Listestemmer;5
2. Bredstrup-Pjedsted;C;Det Konservative Folkeparti;Jill D. Andersen;10
2. Bredstrup-Pjedsted;C;Det Konservative Folkeparti;Poul Sørensen;3
2. Bredstrup-Pjedsted;C;Det Konservative Folkeparti;Helle Romedahl;7
2. Bredstrup-Pjedsted;C;Det Konservative Folkeparti;Conni Rosendahl;8
2. Bredstrup-Pjedsted;C;Det Konservative Folkeparti;Simon Aggesen;0
2. Bredstrup-Pjedsted;C;Det Konservative Folkeparti;Birger Larsen;1
2. Bredstrup-Pjedsted;C;Det Konservative Folkeparti;Finn Østergaard;5
2. Bredstrup-Pjedsted;F;Socialistisk Folkeparti;Listestemmer;16
2. Bredstrup-Pjedsted;F;Socialistisk Folkeparti;Jane Findahl;46
2. Bredstrup-Pjedsted;F;Socialistisk Folkeparti;Ivan Toftgaard;9
2. Bredstrup-Pjedsted;F;Socialistisk Folkeparti;Marianne Thomsen;7
2. Bredstrup-Pjedsted;F;Socialistisk Folkeparti;Mathias Varming;1
2. Bredstrup-Pjedsted;F;Socialistisk Folkeparti;Dorte Henschke;0
2. Bredstrup-Pjedsted;F;Socialistisk Folkeparti;Iraj Kiani;0
2. Bredstrup-Pjedsted;F;Socialistisk Folkeparti;Jan R. Kelgren;1
2. Bredstrup-Pjedsted;F;Socialistisk Folkeparti;Henning L. Troelsen;2
2. Bredstrup-Pjedsted;F;Socialistisk Folkeparti;Ina Skovsbo;0
2. Bredstrup-Pjedsted;F;Socialistisk Folkeparti;Dubravka Laursen;1
2. Bredstrup-Pjedsted;F;Socialistisk Folkeparti;Bolette Riel;0
2. Bredstrup-Pjedsted;F;Socialistisk Folkeparti;Tommy Skov;0
2. Bredstrup-Pjedsted;F;Socialistisk Folkeparti;Dorte Ravn Lauridsen;0
2. Bredstrup-Pjedsted;F;Socialistisk Folkeparti;Steen Jørgensen;0
2. Bredstrup-Pjedsted;F;Socialistisk Folkeparti;Grethe Jensen;1
2. Bredstrup-Pjedsted;F;Socialistisk Folkeparti;René Ganzhorn Jensen;0
2. Bredstrup-Pjedsted;F;Socialistisk Folkeparti;Evald Lauridsen;0
2. Bredstrup-Pjedsted;F;Socialistisk Folkeparti;Johnny Madsen;0
2. Bredstrup-Pjedsted;F;Socialistisk Folkeparti;Ove Kristiansen;2
2. Bredstrup-Pjedsted;I;Borgergruppen;Listestemmer;13
2. Bredstrup-Pjedsted;I;Borgergruppen;Mads Lund;22
2. Bredstrup-Pjedsted;I;Borgergruppen;Henrik Juul Krogh;2
2. Bredstrup-Pjedsted;I;Borgergruppen;Henrik Steenbach;5
2. Bredstrup-Pjedsted;I;Borgergruppen;Karsten Rasmussen;0
2. Bredstrup-Pjedsted;I;Borgergruppen;Grethe Marthinus;2
2. Bredstrup-Pjedsted;I;Borgergruppen;Jens Østrup;0
2. Bredstrup-Pjedsted;J;Jimmys Liste;Listestemmer;1
2. Bredstrup-Pjedsted;J;Jimmys Liste;Jimmy Rasmussen;3
2. Bredstrup-Pjedsted;K;Kristendemokraterne;Listestemmer;3
2. Bredstrup-Pjedsted;K;Kristendemokraterne;Peder Tind;4
2. Bredstrup-Pjedsted;K;Kristendemokraterne;Ruth Fibiger Olesen;5
2. Bredstrup-Pjedsted;K;Kristendemokraterne;Allan Tind;0
2. Bredstrup-Pjedsted;K;Kristendemokraterne;Henrik Klitlund Nielsen;3
2. Bredstrup-Pjedsted;K;Kristendemokraterne;Ester Kofoed;0
2. Bredstrup-Pjedsted;O;Dansk Folkeparti;Listestemmer;42
2. Bredstrup-Pjedsted;O;Dansk Folkeparti;Johnny Majgård;16
2. Bredstrup-Pjedsted;O;Dansk Folkeparti;Kurt Halling;3
2. Bredstrup-Pjedsted;O;Dansk Folkeparti;Grethe Fangel;13
2. Bredstrup-Pjedsted;O;Dansk Folkeparti;Ralph Adler;1
2. Bredstrup-Pjedsted;O;Dansk Folkeparti;Susanne Eilersen;10
2. Bredstrup-Pjedsted;O;Dansk Folkeparti;Tage Christensen;2
2. Bredstrup-Pjedsted;P;Aktive Pensionister;Listestemmer;3
2. Bredstrup-Pjedsted;P;Aktive Pensionister;Karl-Ejner Pedersen;5
2. Bredstrup-Pjedsted;P;Aktive Pensionister;Finn-Rudolf Reif;6
2. Bredstrup-Pjedsted;P;Aktive Pensionister;Erna Svendsen;0
2. Bredstrup-Pjedsted;P;Aktive Pensionister;Leif Dam;0
2. Bredstrup-Pjedsted;P;Aktive Pensionister;Anita Sørensen;0
2. Bredstrup-Pjedsted;V;Venstre, Danmarks Liberale Parti;Listestemmer;34
2. Bredstrup-Pjedsted;V;Venstre, Danmarks Liberale Parti;Peder Hvejsel;28
2. Bredstrup-Pjedsted;V;Venstre, Danmarks Liberale Parti;Else Marie Vind;180
2. Bredstrup-Pjedsted;V;Venstre, Danmarks Liberale Parti;Dennis Thomsen;2
2. Bredstrup-Pjedsted;V;Venstre, Danmarks Liberale Parti;Tone Eidnes Andersen;21
2. Bredstrup-Pjedsted;V;Venstre, Danmarks Liberale Parti;John Bader;22
2. Bredstrup-Pjedsted;V;Venstre, Danmarks Liberale Parti;Claus Jørgensen;1
2. Bredstrup-Pjedsted;V;Venstre, Danmarks Liberale Parti;Hanne Lumby;8
2. Bredstrup-Pjedsted;V;Venstre, Danmarks Liberale Parti;Thomas Banke;5
2. Bredstrup-Pjedsted;V;Venstre, Danmarks Liberale Parti;Børge Larsen;5
2. Bredstrup-Pjedsted;V;Venstre, Danmarks Liberale Parti;Vagn Ove Nielsen;0
2. Bredstrup-Pjedsted;V;Venstre, Danmarks Liberale Parti;Hanne Andersen;0
2. Bredstrup-Pjedsted;V;Venstre, Danmarks Liberale Parti;Kenny Bruun Olsen;5
2. Bredstrup-Pjedsted;V;Venstre, Danmarks Liberale Parti;Søren S. Hansen;0
2. Bredstrup-Pjedsted;Ø;Enhedslisten-De Rød-Grønne;Listestemmer;4
2. Bredstrup-Pjedsted;Ø;Enhedslisten-De Rød-Grønne;Kim Fonvig;0
2. Bredstrup-Pjedsted;Ø;Enhedslisten-De Rød-Grønne;Mai-Britt Bjørholm Madsen;1
2. Bredstrup-Pjedsted;Ø;Enhedslisten-De Rød-Grønne;Bent Bregendahl;0
3. Erritsø;A;Socialdemokratiet;Listestemmer;237
3. Erritsø;A;Socialdemokratiet;Uffe Steiner Jensen;806
3. Erritsø;A;Socialdemokratiet;Henning Due Lorentzen;156
3. Erritsø;A;Socialdemokratiet;Bente Ankersen;47
3. Erritsø;A;Socialdemokratiet;Søren Larsen;63
3. Erritsø;A;Socialdemokratiet;Turan Savas;30
3. Erritsø;A;Socialdemokratiet;Lisbeth Christensen;48
3. Erritsø;A;Socialdemokratiet;Christina Hansen;12
3. Erritsø;A;Socialdemokratiet;Lone Føns Pedersen;12
3. Erritsø;A;Socialdemokratiet;Michael Tøffner;30
3. Erritsø;A;Socialdemokratiet;John Bech Hansen;32
3. Erritsø;A;Socialdemokratiet;Niels Middelbo;20
3. Erritsø;A;Socialdemokratiet;Christian Bro;27
3. Erritsø;A;Socialdemokratiet;Lars Ejby Pedersen;25
3. Erritsø;A;Socialdemokratiet;Grethe Jørgensen;61
3. Erritsø;A;Socialdemokratiet;Dennis Nielsen;49
3. Erritsø;A;Socialdemokratiet;Bent Ole Mortensen;2
3. Erritsø;A;Socialdemokratiet;Grethe Lund Andersen;13
3. Erritsø;A;Socialdemokratiet;Gunnar Christiansen;15
3. Erritsø;A;Socialdemokratiet;Peter Jacobsen;9
3. Erritsø;A;Socialdemokratiet;Mads Ole Astrup;2
3. Erritsø;A;Socialdemokratiet;Rasmus Nielsen;29
3. Erritsø;A;Socialdemokratiet;Birgit Pedersen;8
3. Erritsø;A;Socialdemokratiet;David Ramm;0
3. Erritsø;A;Socialdemokratiet;Poul Fisker Andersen;0
3. Erritsø;A;Socialdemokratiet;Margit Søby Hinkler;2
3. Erritsø;B;Det Radikale Venstre;Listestemmer;43
3. Erritsø;B;Det Radikale Venstre;Hans-Jørgen Jagd;20
3. Erritsø;B;Det Radikale Venstre;Jon Lykke Davidsen;0
3. Erritsø;B;Det Radikale Venstre;Jan Walther Nielsen;0
3. Erritsø;B;Det Radikale Venstre;Ole Bech;3
3. Erritsø;C;Det Konservative Folkeparti;Listestemmer;70
3. Erritsø;C;Det Konservative Folkeparti;Jill D. Andersen;113
3. Erritsø;C;Det Konservative Folkeparti;Poul Sørensen;52
3. Erritsø;C;Det Konservative Folkeparti;Helle Romedahl;61
3. Erritsø;C;Det Konservative Folkeparti;Conni Rosendahl;50
3. Erritsø;C;Det Konservative Folkeparti;Simon Aggesen;5
3. Erritsø;C;Det Konservative Folkeparti;Birger Larsen;26
3. Erritsø;C;Det Konservative Folkeparti;Finn Østergaard;3
3. Erritsø;F;Socialistisk Folkeparti;Listestemmer;77
3. Erritsø;F;Socialistisk Folkeparti;Jane Findahl;326
3. Erritsø;F;Socialistisk Folkeparti;Ivan Toftgaard;57
3. Erritsø;F;Socialistisk Folkeparti;Marianne Thomsen;29
3. Erritsø;F;Socialistisk Folkeparti;Mathias Varming;9
3. Erritsø;F;Socialistisk Folkeparti;Dorte Henschke;18
3. Erritsø;F;Socialistisk Folkeparti;Iraj Kiani;7
3. Erritsø;F;Socialistisk Folkeparti;Jan R. Kelgren;5
3. Erritsø;F;Socialistisk Folkeparti;Henning L. Troelsen;10
3. Erritsø;F;Socialistisk Folkeparti;Ina Skovsbo;0
3. Erritsø;F;Socialistisk Folkeparti;Dubravka Laursen;2
3. Erritsø;F;Socialistisk Folkeparti;Bolette Riel;8
3. Erritsø;F;Socialistisk Folkeparti;Tommy Skov;12
3. Erritsø;F;Socialistisk Folkeparti;Dorte Ravn Lauridsen;2
3. Erritsø;F;Socialistisk Folkeparti;Steen Jørgensen;0
3. Erritsø;F;Socialistisk Folkeparti;Grethe Jensen;0
3. Erritsø;F;Socialistisk Folkeparti;René Ganzhorn Jensen;4
3. Erritsø;F;Socialistisk Folkeparti;Evald Lauridsen;1
3. Erritsø;F;Socialistisk Folkeparti;Johnny Madsen;0
3. Erritsø;F;Socialistisk Folkeparti;Ove Kristiansen;5
3. Erritsø;I;Borgergruppen;Listestemmer;85
3. Erritsø;I;Borgergruppen;Mads Lund;174
