Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Blovstrød;A;Socialdemokratiet;Listestemmer;36
1. Blovstrød;A;Socialdemokratiet;Flemming Villadsen;23
1. Blovstrød;A;Socialdemokratiet;Harald Kortland;8
1. Blovstrød;A;Socialdemokratiet;Elise Høver;5
1. Blovstrød;A;Socialdemokratiet;Henrik Tonnesen;2
1. Blovstrød;A;Socialdemokratiet;Søren Brink Schiønning;0
1. Blovstrød;A;Socialdemokratiet;Morten Bille;3
1. Blovstrød;A;Socialdemokratiet;Liselotte Rasmussen;2
1. Blovstrød;A;Socialdemokratiet;Bjarne Ørgaard Jensen;1
1. Blovstrød;A;Socialdemokratiet;Peter Schmiegelow;11
1. Blovstrød;A;Socialdemokratiet;Kjeld Ersted;0
1. Blovstrød;A;Socialdemokratiet;Miki Larsen;2
1. Blovstrød;A;Socialdemokratiet;Hans Jensen;2
1. Blovstrød;A;Socialdemokratiet;Lene Rønje;3
1. Blovstrød;A;Socialdemokratiet;Lilla Voss;1
1. Blovstrød;A;Socialdemokratiet;Karen Gausland;1
1. Blovstrød;B;Det Radikale Venstre;Listestemmer;34
1. Blovstrød;B;Det Radikale Venstre;Knud Loft Rasmussen;21
1. Blovstrød;B;Det Radikale Venstre;Agnete Fog;20
1. Blovstrød;B;Det Radikale Venstre;Kim Sejr;1
