Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Bispebjergkredsen,,Søren Sørensen,"Venstre, Danmarks Liberale Parti",0
Bispebjergkredsen,,Partiliste,Enhedslisten - De Rød-Grønne,0
Bispebjergkredsen,,Jonathan Simmel,Enhedslisten - De Rød-Grønne,0
Bispebjergkredsen,,Pernille Skipper,Enhedslisten - De Rød-Grønne,0
Bispebjergkredsen,,Rosa Lund,Enhedslisten - De Rød-Grønne,0
Bispebjergkredsen,,Rune Lund,Enhedslisten - De Rød-Grønne,0
Bispebjergkredsen,,Jette Gottlieb,Enhedslisten - De Rød-Grønne,0
Bispebjergkredsen,,Dorthe Hecht,Enhedslisten - De Rød-Grønne,0
Bispebjergkredsen,,Michael Neumann,Enhedslisten - De Rød-Grønne,0
Bispebjergkredsen,,David Rønne,Enhedslisten - De Rød-Grønne,0
Bispebjergkredsen,,Jakob Nerup,Enhedslisten - De Rød-Grønne,0
Bispebjergkredsen,,Karen Skærlund Risvig,Enhedslisten - De Rød-Grønne,0
Bispebjergkredsen,,Louis Jacobsen,Enhedslisten - De Rød-Grønne,0
Bispebjergkredsen,,Mette Bang Larsen,Enhedslisten - De Rød-Grønne,0
Bispebjergkredsen,,Partiliste,Alternativet,0
Bispebjergkredsen,,Uffe Elbæk,Alternativet,0
Bispebjergkredsen,,Carolina Magdalene Maier,Alternativet,0
Bispebjergkredsen,,Kåre Traberg Smidt,Alternativet,0
Bispebjergkredsen,,Jan Kristoffersen,Alternativet,0
Bispebjergkredsen,,Asbjørn Ammitzbøll Flügge,Alternativet,0
Bispebjergkredsen,,Henrik Marstal,Alternativet,0
Bispebjergkredsen,,Jonathan Ries,Alternativet,0
Bispebjergkredsen,,Nina Svane-Mikkelsen,Alternativet,0
Bispebjergkredsen,,Shahzad Riaz,Alternativet,0
Bispebjergkredsen,,Rolf Bjerre,Alternativet,0
Bispebjergkredsen,,Mette Rose Nielsen,Alternativet,0
Bispebjergkredsen,,Kashif Ahmad,Alternativet,0
Bispebjergkredsen,,Tommy Schou Christesen,(Uden for parti),0
Bispebjergkredsen,,Tom Gillesberg,(Uden for parti),0
Bispebjergkredsen,,John Jørgensen,(Uden for parti),0
Bispebjergkredsen,,Pierre Tavares,(Uden for parti),0
Bispebjergkredsen,,John Erik Wagner,(Uden for parti),0
Bispebjergkredsen,,Partiliste,Socialdemokratiet,0
Bispebjergkredsen,,Lone Larsen,Socialdemokratiet,0
Bispebjergkredsen,,Yildiz Akdogan,Socialdemokratiet,0
Bispebjergkredsen,,Niels E. Bjerrum,Socialdemokratiet,0
Bispebjergkredsen,,Claus Hasselmann,Socialdemokratiet,0
Bispebjergkredsen,,Sine Heltberg,Socialdemokratiet,0
Bispebjergkredsen,,Peter Hummelgaard,Socialdemokratiet,0
Bispebjergkredsen,,Verner Sand Kirk,Socialdemokratiet,0
Bispebjergkredsen,,Jørgen Mørup Pedersen,Socialdemokratiet,0
Bispebjergkredsen,,Lars Aslan Rasmussen,Socialdemokratiet,0
Bispebjergkredsen,,Mette Reissmann,Socialdemokratiet,0
Bispebjergkredsen,,Pernille Rosenkrantz-Theil,Socialdemokratiet,0
Bispebjergkredsen,,Simon Simonsen,Socialdemokratiet,0
Bispebjergkredsen,,Partiliste,Radikale Venstre,0
Bispebjergkredsen,,Lartey Lawson,Radikale Venstre,0
Bispebjergkredsen,,Ida Auken,Radikale Venstre,0
Bispebjergkredsen,,Samira Nawa,Radikale Venstre,0
Bispebjergkredsen,,Mette Annelie Rasmussen,Radikale Venstre,0
Bispebjergkredsen,,Ruben Kidde,Radikale Venstre,0
Bispebjergkredsen,,Jeppe Fransson,Radikale Venstre,0
Bispebjergkredsen,,Jens Rohde,Radikale Venstre,0
Bispebjergkredsen,,Louise Vinther Alis,Radikale Venstre,0
Bispebjergkredsen,,Rune Scharff Andreasen,Radikale Venstre,0
Bispebjergkredsen,,Andreas Pourkamali,Radikale Venstre,0
Bispebjergkredsen,,Jesper Abildgaard,Radikale Venstre,0
Bispebjergkredsen,,Thomas Maare,Radikale Venstre,0
Bispebjergkredsen,,Partiliste,Det Konservative Folkeparti,0
Bispebjergkredsen,,Anders Johansson,Det Konservative Folkeparti,0
Bispebjergkredsen,,Katarina Ammitzbøll,Det Konservative Folkeparti,0
Bispebjergkredsen,,Lasse Vogel Andersen,Det Konservative Folkeparti,0
Bispebjergkredsen,,Helle Bonnesen,Det Konservative Folkeparti,0
Bispebjergkredsen,,Nikolaj Bøgh,Det Konservative Folkeparti,0
Bispebjergkredsen,,Marie Høgh,Det Konservative Folkeparti,0
Bispebjergkredsen,,Peter Stakemann,Det Konservative Folkeparti,0
Bispebjergkredsen,,Caspar Stefani,Det Konservative Folkeparti,0
Bispebjergkredsen,,Partiliste,Nye Borgerlige,0
Bispebjergkredsen,,Ketil Wathne Rasmussen,Nye Borgerlige,0
Bispebjergkredsen,,Tom Andkjær,Nye Borgerlige,0
Bispebjergkredsen,,Cherif Tomra Ayouty,Nye Borgerlige,0
Bispebjergkredsen,,Helle Rosenvig,Nye Borgerlige,0
Bispebjergkredsen,,Partiliste,Klaus Riskær Pedersen,0
Bispebjergkredsen,,Manja Aarslev Sørensen,Klaus Riskær Pedersen,0
Bispebjergkredsen,,Klaus Riskær Pedersen,Klaus Riskær Pedersen,0
Bispebjergkredsen,,Partiliste,SF - Socialistisk Folkeparti,0
Bispebjergkredsen,,Pia Olsen Dyhr,SF - Socialistisk Folkeparti,0
Bispebjergkredsen,,Carl Valentin,SF - Socialistisk Folkeparti,0
Bispebjergkredsen,,Kasper Nordborg Kiær,SF - Socialistisk Folkeparti,0
Bispebjergkredsen,,Halime Oguz,SF - Socialistisk Folkeparti,0
Bispebjergkredsen,,Balder Mørk Andersen,SF - Socialistisk Folkeparti,0
Bispebjergkredsen,,Louise Tuxen Romsdal,SF - Socialistisk Folkeparti,0
Bispebjergkredsen,,Rasmus Steenberger,SF - Socialistisk Folkeparti,0
Bispebjergkredsen,,Melissa Skovgaard Jensen,SF - Socialistisk Folkeparti,0
Bispebjergkredsen,,Ebbe A. Hansen,SF - Socialistisk Folkeparti,0
Bispebjergkredsen,,Rikke Lauritsen,SF - Socialistisk Folkeparti,0
Bispebjergkredsen,,Partiliste,Liberal Alliance,0
Bispebjergkredsen,,Simon Emil Ammitzbøll-Bille,Liberal Alliance,0
Bispebjergkredsen,,Jacob Rosenberg,Liberal Alliance,0
Bispebjergkredsen,,Danny Malkowski,Liberal Alliance,0
Bispebjergkredsen,,Lars Berg Andersen,Liberal Alliance,0
Bispebjergkredsen,,Martin Ancher,Liberal Alliance,0
Bispebjergkredsen,,David Bertelsen,Liberal Alliance,0
Bispebjergkredsen,,Partiliste,Kristendemokraterne,0
Bispebjergkredsen,,Stig Grenov,Kristendemokraterne,0
Bispebjergkredsen,,Nanna Bock,Kristendemokraterne,0
Bispebjergkredsen,,Anne Grønlund,Kristendemokraterne,0
Bispebjergkredsen,,Anne-Lise Wagner,Kristendemokraterne,0
Bispebjergkredsen,,Bess Serner-Pedersen,Kristendemokraterne,0
Bispebjergkredsen,,Partiliste,Dansk Folkeparti,0
Bispebjergkredsen,,Søren Hald Christensen,Dansk Folkeparti,0
Bispebjergkredsen,,Julie Jacobsen,Dansk Folkeparti,0
Bispebjergkredsen,,Brian Borglund Bruun,Dansk Folkeparti,0
Bispebjergkredsen,,Lars Vestergaard,Dansk Folkeparti,0
Bispebjergkredsen,,Paw Karslund,Dansk Folkeparti,0
Bispebjergkredsen,,Susanne Damsgaard,Dansk Folkeparti,0
Bispebjergkredsen,,Martin Henriksen,Dansk Folkeparti,0
Bispebjergkredsen,,Per Brix,Dansk Folkeparti,0
Bispebjergkredsen,,Carsten Ullmann Andersen,Dansk Folkeparti,0
Bispebjergkredsen,,Laila Sortland,Dansk Folkeparti,0
Bispebjergkredsen,,Cheanne Nielsen,Dansk Folkeparti,0
Bispebjergkredsen,,Peter Skaarup,Dansk Folkeparti,0
Bispebjergkredsen,,Partiliste,Stram Kurs,0
Bispebjergkredsen,,Martin Skriver,Stram Kurs,0
Bispebjergkredsen,,Lemmy Lundquist,Stram Kurs,0
Bispebjergkredsen,,Partiliste,"Venstre, Danmarks Liberale Parti",0
Bispebjergkredsen,,Casper Pedersen,"Venstre, Danmarks Liberale Parti",0
Bispebjergkredsen,,Tommy Ahlers,"Venstre, Danmarks Liberale Parti",0
Bispebjergkredsen,,Martin Geertsen,"Venstre, Danmarks Liberale Parti",0
Bispebjergkredsen,,Jan E. Jørgensen,"Venstre, Danmarks Liberale Parti",0
Bispebjergkredsen,,Kasper Kristensen,"Venstre, Danmarks Liberale Parti",0
Bispebjergkredsen,,Bjarke Kværnø,"Venstre, Danmarks Liberale Parti",0
Bispebjergkredsen,,Michael Lange,"Venstre, Danmarks Liberale Parti",0
Bispebjergkredsen,,Jens-Kristian Lütken,"Venstre, Danmarks Liberale Parti",0
Bispebjergkredsen,,Anne Rasmussen,"Venstre, Danmarks Liberale Parti",0
Bispebjergkredsen,,Bo Sandroos,"Venstre, Danmarks Liberale Parti",0
Bispebjergkredsen,,Sven Aage Schlosrich,"Venstre, Danmarks Liberale Parti",0
Bispebjergkredsen,,Søren Sørensen,"Venstre, Danmarks Liberale Parti",0
Bispebjergkredsen,,Partiliste,Enhedslisten - De Rød-Grønne,0
Bispebjergkredsen,,Jonathan Simmel,Enhedslisten - De Rød-Grønne,0
Bispebjergkredsen,,Pernille Skipper,Enhedslisten - De Rød-Grønne,0
Bispebjergkredsen,,Rosa Lund,Enhedslisten - De Rød-Grønne,0
Bispebjergkredsen,,Rune Lund,Enhedslisten - De Rød-Grønne,0
Bispebjergkredsen,,Jette Gottlieb,Enhedslisten - De Rød-Grønne,0
Bispebjergkredsen,,Dorthe Hecht,Enhedslisten - De Rød-Grønne,0
Bispebjergkredsen,,Michael Neumann,Enhedslisten - De Rød-Grønne,0
Bispebjergkredsen,,David Rønne,Enhedslisten - De Rød-Grønne,0
Bispebjergkredsen,,Jakob Nerup,Enhedslisten - De Rød-Grønne,0
Bispebjergkredsen,,Karen Skærlund Risvig,Enhedslisten - De Rød-Grønne,0
Bispebjergkredsen,,Louis Jacobsen,Enhedslisten - De Rød-Grønne,0
Bispebjergkredsen,,Mette Bang Larsen,Enhedslisten - De Rød-Grønne,0
Bispebjergkredsen,,Partiliste,Alternativet,0
Bispebjergkredsen,,Uffe Elbæk,Alternativet,0
Bispebjergkredsen,,Carolina Magdalene Maier,Alternativet,0
Bispebjergkredsen,,Kåre Traberg Smidt,Alternativet,0
Bispebjergkredsen,,Jan Kristoffersen,Alternativet,0
Bispebjergkredsen,,Asbjørn Ammitzbøll Flügge,Alternativet,0
Bispebjergkredsen,,Henrik Marstal,Alternativet,0
Bispebjergkredsen,,Jonathan Ries,Alternativet,0
Bispebjergkredsen,,Nina Svane-Mikkelsen,Alternativet,0
Bispebjergkredsen,,Shahzad Riaz,Alternativet,0
Bispebjergkredsen,,Rolf Bjerre,Alternativet,0
Bispebjergkredsen,,Mette Rose Nielsen,Alternativet,0
Bispebjergkredsen,,Kashif Ahmad,Alternativet,0
Bispebjergkredsen,,Tommy Schou Christesen,(Uden for parti),0
Bispebjergkredsen,,Tom Gillesberg,(Uden for parti),0
Bispebjergkredsen,,John Jørgensen,(Uden for parti),0
Bispebjergkredsen,,Pierre Tavares,(Uden for parti),0
Bispebjergkredsen,,John Erik Wagner,(Uden for parti),0
Bispebjergkredsen,,Partiliste,Socialdemokratiet,0
Bispebjergkredsen,,Lone Larsen,Socialdemokratiet,0
Bispebjergkredsen,,Yildiz Akdogan,Socialdemokratiet,0
Bispebjergkredsen,,Niels E. Bjerrum,Socialdemokratiet,0
Bispebjergkredsen,,Claus Hasselmann,Socialdemokratiet,0
Bispebjergkredsen,,Sine Heltberg,Socialdemokratiet,0
Bispebjergkredsen,,Peter Hummelgaard,Socialdemokratiet,0
Bispebjergkredsen,,Verner Sand Kirk,Socialdemokratiet,0
Bispebjergkredsen,,Jørgen Mørup Pedersen,Socialdemokratiet,0
Bispebjergkredsen,,Lars Aslan Rasmussen,Socialdemokratiet,0
Bispebjergkredsen,,Mette Reissmann,Socialdemokratiet,0
Bispebjergkredsen,,Pernille Rosenkrantz-Theil,Socialdemokratiet,0
Bispebjergkredsen,,Simon Simonsen,Socialdemokratiet,0
Bispebjergkredsen,,Partiliste,Radikale Venstre,0
Bispebjergkredsen,,Lartey Lawson,Radikale Venstre,0
Bispebjergkredsen,,Ida Auken,Radikale Venstre,0
Bispebjergkredsen,,Samira Nawa,Radikale Venstre,0
Bispebjergkredsen,,Mette Annelie Rasmussen,Radikale Venstre,0
Bispebjergkredsen,,Ruben Kidde,Radikale Venstre,0
Bispebjergkredsen,,Jeppe Fransson,Radikale Venstre,0
Bispebjergkredsen,,Jens Rohde,Radikale Venstre,0
Bispebjergkredsen,,Louise Vinther Alis,Radikale Venstre,0
Bispebjergkredsen,,Rune Scharff Andreasen,Radikale Venstre,0
Bispebjergkredsen,,Andreas Pourkamali,Radikale Venstre,0
Bispebjergkredsen,,Jesper Abildgaard,Radikale Venstre,0
Bispebjergkredsen,,Thomas Maare,Radikale Venstre,0
Bispebjergkredsen,,Partiliste,Det Konservative Folkeparti,0
Bispebjergkredsen,,Anders Johansson,Det Konservative Folkeparti,0
Bispebjergkredsen,,Katarina Ammitzbøll,Det Konservative Folkeparti,0
Bispebjergkredsen,,Lasse Vogel Andersen,Det Konservative Folkeparti,0
Bispebjergkredsen,,Helle Bonnesen,Det Konservative Folkeparti,0
Bispebjergkredsen,,Nikolaj Bøgh,Det Konservative Folkeparti,0
Bispebjergkredsen,,Marie Høgh,Det Konservative Folkeparti,0
Bispebjergkredsen,,Peter Stakemann,Det Konservative Folkeparti,0
Bispebjergkredsen,,Caspar Stefani,Det Konservative Folkeparti,0
Bispebjergkredsen,,Partiliste,Nye Borgerlige,0
Bispebjergkredsen,,Ketil Wathne Rasmussen,Nye Borgerlige,0
Bispebjergkredsen,,Tom Andkjær,Nye Borgerlige,0
Bispebjergkredsen,,Cherif Tomra Ayouty,Nye Borgerlige,0
Bispebjergkredsen,,Helle Rosenvig,Nye Borgerlige,0
Bispebjergkredsen,,Partiliste,Klaus Riskær Pedersen,0
Bispebjergkredsen,,Manja Aarslev Sørensen,Klaus Riskær Pedersen,0
Bispebjergkredsen,,Klaus Riskær Pedersen,Klaus Riskær Pedersen,0
Bispebjergkredsen,,Partiliste,SF - Socialistisk Folkeparti,0
Bispebjergkredsen,,Pia Olsen Dyhr,SF - Socialistisk Folkeparti,0
Bispebjergkredsen,,Carl Valentin,SF - Socialistisk Folkeparti,0
Bispebjergkredsen,,Kasper Nordborg Kiær,SF - Socialistisk Folkeparti,0
Bispebjergkredsen,,Halime Oguz,SF - Socialistisk Folkeparti,0
Bispebjergkredsen,,Balder Mørk Andersen,SF - Socialistisk Folkeparti,0
Bispebjergkredsen,,Louise Tuxen Romsdal,SF - Socialistisk Folkeparti,0
Bispebjergkredsen,,Rasmus Steenberger,SF - Socialistisk Folkeparti,0
Bispebjergkredsen,,Melissa Skovgaard Jensen,SF - Socialistisk Folkeparti,0
Bispebjergkredsen,,Ebbe A. Hansen,SF - Socialistisk Folkeparti,0
Bispebjergkredsen,,Rikke Lauritsen,SF - Socialistisk Folkeparti,0
Bispebjergkredsen,,Partiliste,Liberal Alliance,0
Bispebjergkredsen,,Simon Emil Ammitzbøll-Bille,Liberal Alliance,0
Bispebjergkredsen,,Jacob Rosenberg,Liberal Alliance,0
Bispebjergkredsen,,Danny Malkowski,Liberal Alliance,0
Bispebjergkredsen,,Lars Berg Andersen,Liberal Alliance,0
Bispebjergkredsen,,Martin Ancher,Liberal Alliance,0
Bispebjergkredsen,,David Bertelsen,Liberal Alliance,0
Bispebjergkredsen,,Partiliste,Kristendemokraterne,0
Bispebjergkredsen,,Stig Grenov,Kristendemokraterne,0
Bispebjergkredsen,,Nanna Bock,Kristendemokraterne,0
Bispebjergkredsen,,Anne Grønlund,Kristendemokraterne,0
Bispebjergkredsen,,Anne-Lise Wagner,Kristendemokraterne,0
Bispebjergkredsen,,Bess Serner-Pedersen,Kristendemokraterne,0
Bispebjergkredsen,,Partiliste,Dansk Folkeparti,0
Bispebjergkredsen,,Søren Hald Christensen,Dansk Folkeparti,0
Bispebjergkredsen,,Julie Jacobsen,Dansk Folkeparti,0
Bispebjergkredsen,,Brian Borglund Bruun,Dansk Folkeparti,0
Bispebjergkredsen,,Lars Vestergaard,Dansk Folkeparti,0
Bispebjergkredsen,,Paw Karslund,Dansk Folkeparti,0
Bispebjergkredsen,,Susanne Damsgaard,Dansk Folkeparti,0
Bispebjergkredsen,,Martin Henriksen,Dansk Folkeparti,0
Bispebjergkredsen,,Per Brix,Dansk Folkeparti,0
Bispebjergkredsen,,Carsten Ullmann Andersen,Dansk Folkeparti,0
Bispebjergkredsen,,Laila Sortland,Dansk Folkeparti,0
Bispebjergkredsen,,Cheanne Nielsen,Dansk Folkeparti,0
Bispebjergkredsen,,Peter Skaarup,Dansk Folkeparti,0
Bispebjergkredsen,,Partiliste,Stram Kurs,0
Bispebjergkredsen,,Martin Skriver,Stram Kurs,0
Bispebjergkredsen,,Lemmy Lundquist,Stram Kurs,0
Bispebjergkredsen,,Partiliste,"Venstre, Danmarks Liberale Parti",0
Bispebjergkredsen,,Casper Pedersen,"Venstre, Danmarks Liberale Parti",0
Bispebjergkredsen,,Tommy Ahlers,"Venstre, Danmarks Liberale Parti",0
Bispebjergkredsen,,Martin Geertsen,"Venstre, Danmarks Liberale Parti",0
Bispebjergkredsen,,Jan E. Jørgensen,"Venstre, Danmarks Liberale Parti",0
Bispebjergkredsen,,Kasper Kristensen,"Venstre, Danmarks Liberale Parti",0
Bispebjergkredsen,,Bjarke Kværnø,"Venstre, Danmarks Liberale Parti",0
Bispebjergkredsen,,Michael Lange,"Venstre, Danmarks Liberale Parti",0
Bispebjergkredsen,,Jens-Kristian Lütken,"Venstre, Danmarks Liberale Parti",0
Bispebjergkredsen,,Anne Rasmussen,"Venstre, Danmarks Liberale Parti",0
Bispebjergkredsen,,Bo Sandroos,"Venstre, Danmarks Liberale Parti",0
Bispebjergkredsen,,Sven Aage Schlosrich,"Venstre, Danmarks Liberale Parti",0
Bispebjergkredsen,,Søren Sørensen,"Venstre, Danmarks Liberale Parti",0
Bispebjergkredsen,,Partiliste,Enhedslisten - De Rød-Grønne,0
Bispebjergkredsen,,Jonathan Simmel,Enhedslisten - De Rød-Grønne,0
Bispebjergkredsen,,Pernille Skipper,Enhedslisten - De Rød-Grønne,0
Bispebjergkredsen,,Rosa Lund,Enhedslisten - De Rød-Grønne,0
Bispebjergkredsen,,Rune Lund,Enhedslisten - De Rød-Grønne,0
Bispebjergkredsen,,Jette Gottlieb,Enhedslisten - De Rød-Grønne,0
Bispebjergkredsen,,Dorthe Hecht,Enhedslisten - De Rød-Grønne,0
Bispebjergkredsen,,Michael Neumann,Enhedslisten - De Rød-Grønne,0
Bispebjergkredsen,,David Rønne,Enhedslisten - De Rød-Grønne,0
Bispebjergkredsen,,Jakob Nerup,Enhedslisten - De Rød-Grønne,0
Bispebjergkredsen,,Karen Skærlund Risvig,Enhedslisten - De Rød-Grønne,0
Bispebjergkredsen,,Louis Jacobsen,Enhedslisten - De Rød-Grønne,0
Bispebjergkredsen,,Mette Bang Larsen,Enhedslisten - De Rød-Grønne,0
Bispebjergkredsen,,Partiliste,Alternativet,0
Bispebjergkredsen,,Uffe Elbæk,Alternativet,0
Bispebjergkredsen,,Carolina Magdalene Maier,Alternativet,0
Bispebjergkredsen,,Kåre Traberg Smidt,Alternativet,0
Bispebjergkredsen,,Jan Kristoffersen,Alternativet,0
Bispebjergkredsen,,Asbjørn Ammitzbøll Flügge,Alternativet,0
Bispebjergkredsen,,Henrik Marstal,Alternativet,0
Bispebjergkredsen,,Jonathan Ries,Alternativet,0
Bispebjergkredsen,,Nina Svane-Mikkelsen,Alternativet,0
Bispebjergkredsen,,Shahzad Riaz,Alternativet,0
Bispebjergkredsen,,Rolf Bjerre,Alternativet,0
Bispebjergkredsen,,Mette Rose Nielsen,Alternativet,0
Bispebjergkredsen,,Kashif Ahmad,Alternativet,0
Bispebjergkredsen,,Tommy Schou Christesen,(Uden for parti),0
Bispebjergkredsen,,Tom Gillesberg,(Uden for parti),0
Bispebjergkredsen,,John Jørgensen,(Uden for parti),0
Bispebjergkredsen,,Pierre Tavares,(Uden for parti),0
Bispebjergkredsen,,John Erik Wagner,(Uden for parti),0
Bispebjergkredsen,,Partiliste,Socialdemokratiet,0
Bispebjergkredsen,,Lone Larsen,Socialdemokratiet,0
Bispebjergkredsen,,Yildiz Akdogan,Socialdemokratiet,0
Bispebjergkredsen,,Niels E. Bjerrum,Socialdemokratiet,0
Bispebjergkredsen,,Claus Hasselmann,Socialdemokratiet,0
