Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Roskilde Bymidte;A;Socialdemokratiet;Listestemmer;192
1. Roskilde Bymidte;A;Socialdemokratiet;Poul Lindor Nielsen;241
1. Roskilde Bymidte;A;Socialdemokratiet;Joy Mogensen, Roskilde;84
1. Roskilde Bymidte;A;Socialdemokratiet;Bente Dieckmann, Roskilde;24
1. Roskilde Bymidte;A;Socialdemokratiet;Jakob Bojsen, Roskilde;12
1. Roskilde Bymidte;A;Socialdemokratiet;Morten Gjerskov, Jyllinge;10
1. Roskilde Bymidte;A;Socialdemokratiet;Frede Lærke Pedersen, Gadstrup;0
1. Roskilde Bymidte;A;Socialdemokratiet;Gert Hovald, Roskilde;12
1. Roskilde Bymidte;A;Socialdemokratiet;Torben Jørgensen, Roskilde;24
1. Roskilde Bymidte;A;Socialdemokratiet;Cemal Oklu, Roskilde;15
1. Roskilde Bymidte;A;Socialdemokratiet;Christian Kryger, Roskilde;1
1. Roskilde Bymidte;A;Socialdemokratiet;Hanne Eisen, Vindinge;9
1. Roskilde Bymidte;A;Socialdemokratiet;Bo Bjørn Madsen, Roskilde;1
1. Roskilde Bymidte;A;Socialdemokratiet;Claus Larsen, Jyllinge;1
1. Roskilde Bymidte;A;Socialdemokratiet;Vivi Jacobsen, Roskilde;18
1. Roskilde Bymidte;A;Socialdemokratiet;Tomas Breddam, Trekroner;1
1. Roskilde Bymidte;A;Socialdemokratiet;Kaj V. Hansen, Roskilde;47
1. Roskilde Bymidte;A;Socialdemokratiet;Poul Andersen, Jyllinge;3
1. Roskilde Bymidte;A;Socialdemokratiet;Christian Gross Christensen, Rosk.;0
1. Roskilde Bymidte;A;Socialdemokratiet;Poul Qvist Jørgensen, Skt. Jørgen;2
1. Roskilde Bymidte;A;Socialdemokratiet;Stig Hirsbak, St. Valby;5
1. Roskilde Bymidte;A;Socialdemokratiet;Piet Grønlund Nielsen, Roskilde;14
1. Roskilde Bymidte;A;Socialdemokratiet;Kenneth Sejlø Andersen, Roskilde;10
1. Roskilde Bymidte;A;Socialdemokratiet;Kristoffer Lindholt, Slæggerup;0
1. Roskilde Bymidte;A;Socialdemokratiet;Visti Christensen, Svogerslev;2
1. Roskilde Bymidte;B;Det Radikale Venstre;Listestemmer;53
1. Roskilde Bymidte;B;Det Radikale Venstre;Ingelise Hansen, Roskilde;19
1. Roskilde Bymidte;B;Det Radikale Venstre;Zenia Stampe;38
1. Roskilde Bymidte;B;Det Radikale Venstre;Samira Ahmad, Roskilde;40
1. Roskilde Bymidte;B;Det Radikale Venstre;Jeppe Trolle, Trekroner;14
1. Roskilde Bymidte;B;Det Radikale Venstre;Johan Leo, Gadstrup;0
1. Roskilde Bymidte;B;Det Radikale Venstre;Kristian Borch, Jyllinge;0
1. Roskilde Bymidte;B;Det Radikale Venstre;Jakob Dorph Broager, Roskilde;1
1. Roskilde Bymidte;B;Det Radikale Venstre;Christian Lyng, Gundsømagle;1
1. Roskilde Bymidte;B;Det Radikale Venstre;Jeppe Fransson;0
1. Roskilde Bymidte;B;Det Radikale Venstre;Lotte Nowack;0
1. Roskilde Bymidte;B;Det Radikale Venstre;Gunnar Gissel Nielsen;0
1. Roskilde Bymidte;B;Det Radikale Venstre;Lars Paisley, Roskilde;0
1. Roskilde Bymidte;B;Det Radikale Venstre;Kirsten Bjerager;1
1. Roskilde Bymidte;B;Det Radikale Venstre;Hans-Henrik Kjølhede;1
1. Roskilde Bymidte;B;Det Radikale Venstre;Thomas Ryhl, Herringløse;0
1. Roskilde Bymidte;B;Det Radikale Venstre;Henrik Skov;0
1. Roskilde Bymidte;B;Det Radikale Venstre;Gorm Bruun Hansen;2
1. Roskilde Bymidte;B;Det Radikale Venstre;Anders Fransson;0
1. Roskilde Bymidte;C;Det Konservative Folkeparti;Listestemmer;94
1. Roskilde Bymidte;C;Det Konservative Folkeparti;Carsten Wickmann;115
1. Roskilde Bymidte;C;Det Konservative Folkeparti;Tom Hjorth Andersen;41
1. Roskilde Bymidte;C;Det Konservative Folkeparti;Jan Herskov;10
1. Roskilde Bymidte;C;Det Konservative Folkeparti;Anne-Marie Kristensen;18
1. Roskilde Bymidte;C;Det Konservative Folkeparti;Kasper Witzke;1
1. Roskilde Bymidte;C;Det Konservative Folkeparti;Keld Holm;3
1. Roskilde Bymidte;C;Det Konservative Folkeparti;John Jacobsen, Svogerslev;9
1. Roskilde Bymidte;C;Det Konservative Folkeparti;Mona Fugloy;5
1. Roskilde Bymidte;C;Det Konservative Folkeparti;Torben Groth, Jyllinge;0
1. Roskilde Bymidte;C;Det Konservative Folkeparti;Gustav Gerstrøm;0
1. Roskilde Bymidte;C;Det Konservative Folkeparti;Ove Boh Larsen, Roskilde;7
1. Roskilde Bymidte;C;Det Konservative Folkeparti;Anna Skov Hansen;48
1. Roskilde Bymidte;C;Det Konservative Folkeparti;Lars Lindskov;19
1. Roskilde Bymidte;F;SF - Socialitisk Folkeparti;Listestemmer;333
1. Roskilde Bymidte;F;SF - Socialitisk Folkeparti;Henrik Stougaard;141
1. Roskilde Bymidte;F;SF - Socialitisk Folkeparti;Birgit Pedersen;75
1. Roskilde Bymidte;F;SF - Socialitisk Folkeparti;Torben Olsen;57
1. Roskilde Bymidte;F;SF - Socialitisk Folkeparti;Jan Bjergskov Larsen;37
1. Roskilde Bymidte;F;SF - Socialitisk Folkeparti;Mette Truesen;117
1. Roskilde Bymidte;F;SF - Socialitisk Folkeparti;Tuncay Yilmaz;19
1. Roskilde Bymidte;F;SF - Socialitisk Folkeparti;Kim Raben;26
1. Roskilde Bymidte;F;SF - Socialitisk Folkeparti;Hans Peder From;7
1. Roskilde Bymidte;F;SF - Socialitisk Folkeparti;Steen E. Damkjær;7
1. Roskilde Bymidte;F;SF - Socialitisk Folkeparti;Ida Espersen;8
1. Roskilde Bymidte;F;SF - Socialitisk Folkeparti;Henrik Schubart;3
1. Roskilde Bymidte;F;SF - Socialitisk Folkeparti;Bodil Damgaard Andersen;3
1. Roskilde Bymidte;F;SF - Socialitisk Folkeparti;Samir Salameh;3
1. Roskilde Bymidte;F;SF - Socialitisk Folkeparti;Karin Andersen;5
1. Roskilde Bymidte;F;SF - Socialitisk Folkeparti;Mikkel Frost;2
1. Roskilde Bymidte;F;SF - Socialitisk Folkeparti;Erik Gaden;0
1. Roskilde Bymidte;F;SF - Socialitisk Folkeparti;Bo Henriksen;1
1. Roskilde Bymidte;F;SF - Socialitisk Folkeparti;Mads Christian Præstegaard;1
1. Roskilde Bymidte;F;SF - Socialitisk Folkeparti;Kirsten Bielce;3
1. Roskilde Bymidte;F;SF - Socialitisk Folkeparti;Jeppe Lopdrup Gjerum;0
1. Roskilde Bymidte;F;SF - Socialitisk Folkeparti;Lene Stick Andersen;3
1. Roskilde Bymidte;F;SF - Socialitisk Folkeparti;Carsten Bækgaard;2
1. Roskilde Bymidte;F;SF - Socialitisk Folkeparti;Asger Zornow;2
1. Roskilde Bymidte;F;SF - Socialitisk Folkeparti;Tina Boel;44
1. Roskilde Bymidte;F;SF - Socialitisk Folkeparti;Rikke Houkjær;2
1. Roskilde Bymidte;F;SF - Socialitisk Folkeparti;Peder Pedersen;0
1. Roskilde Bymidte;F;SF - Socialitisk Folkeparti;Jens Brandt Pedersen;1
1. Roskilde Bymidte;I;Liberal Alliance;Listestemmer;2
1. Roskilde Bymidte;I;Liberal Alliance;David Arborg, Roskilde;6
1. Roskilde Bymidte;L;Larsens Plads;Listestemmer;1
1. Roskilde Bymidte;L;Larsens Plads;Finn O. Larsen;9
1. Roskilde Bymidte;O;Dansk Folkeparti;Listestemmer;104
1. Roskilde Bymidte;O;Dansk Folkeparti;Merete Dea Møller Larsen;33
1. Roskilde Bymidte;O;Dansk Folkeparti;Holger Bernild;5
1. Roskilde Bymidte;O;Dansk Folkeparti;Birgith Lillian Hyldgaard;2
1. Roskilde Bymidte;O;Dansk Folkeparti;Poul Arne Vangslev;4
1. Roskilde Bymidte;O;Dansk Folkeparti;Tage Skaaning Nielsen;7
1. Roskilde Bymidte;O;Dansk Folkeparti;Sv. Haukjær Andersen;4
1. Roskilde Bymidte;O;Dansk Folkeparti;Hanne M. Paulsen;2
1. Roskilde Bymidte;R;Roskildelisten;Listestemmer;1
1. Roskilde Bymidte;R;Roskildelisten;Michael Korn;0
1. Roskilde Bymidte;V;Venstre, Danmarks Liberale Parti;Listestemmer;173
1. Roskilde Bymidte;V;Venstre, Danmarks Liberale Parti;Evan Lynnerup;112
1. Roskilde Bymidte;V;Venstre, Danmarks Liberale Parti;Peter Madsen;41
1. Roskilde Bymidte;V;Venstre, Danmarks Liberale Parti;Gitte Kronbak Nielsen, Viby Sj.;11
1. Roskilde Bymidte;V;Venstre, Danmarks Liberale Parti;Lars Berg Olsen, Dåstrup;5
1. Roskilde Bymidte;V;Venstre, Danmarks Liberale Parti;Bent Jørgensen, Svogerslev;23
1. Roskilde Bymidte;V;Venstre, Danmarks Liberale Parti;Annie Larsen;71
1. Roskilde Bymidte;V;Venstre, Danmarks Liberale Parti;Michael Dyre-Ousted;1
1. Roskilde Bymidte;V;Venstre, Danmarks Liberale Parti;Carsten Bülow Ørsnæs;3
1. Roskilde Bymidte;V;Venstre, Danmarks Liberale Parti;Mads Ravndrup Thomsen, Roskilde;14
1. Roskilde Bymidte;V;Venstre, Danmarks Liberale Parti;Peter Bager, Jyllinge;0
1. Roskilde Bymidte;V;Venstre, Danmarks Liberale Parti;Birthe Kjerulff Jacobsen, Viby;1
1. Roskilde Bymidte;V;Venstre, Danmarks Liberale Parti;Fleming Friis Larsen, Roskilde;1
1. Roskilde Bymidte;V;Venstre, Danmarks Liberale Parti;Lizzi Tvede Waagstein, Roskilde;9
1. Roskilde Bymidte;V;Venstre, Danmarks Liberale Parti;Klaas Venborg, Jyllinge;3
1. Roskilde Bymidte;V;Venstre, Danmarks Liberale Parti;Torben Svendsen, Roskilde;9
1. Roskilde Bymidte;V;Venstre, Danmarks Liberale Parti;Karsten Sivgaard, Gadstrup;0
1. Roskilde Bymidte;V;Venstre, Danmarks Liberale Parti;Torben Wellan, Roskilde;2
1. Roskilde Bymidte;V;Venstre, Danmarks Liberale Parti;Christina Sofie Byrdal, Jyllinge;3
1. Roskilde Bymidte;V;Venstre, Danmarks Liberale Parti;Flemming Berner, Jyllinge;1
1. Roskilde Bymidte;V;Venstre, Danmarks Liberale Parti;Anita Ø. Olsen, Viby Sj.;0
1. Roskilde Bymidte;Ø;Enhedslisten - De Rød-Grønne;Listestemmer;43
1. Roskilde Bymidte;Ø;Enhedslisten - De Rød-Grønne;Christian Holtet;50
1. Roskilde Bymidte;Ø;Enhedslisten - De Rød-Grønne;Jonas Bejer Paludan;8
1. Roskilde Bymidte;Ø;Enhedslisten - De Rød-Grønne;Betina Sørensen;12
1. Roskilde Bymidte;Ø;Enhedslisten - De Rød-Grønne;Jacob Stevne Jørgensen;6
1. Roskilde Bymidte;Ø;Enhedslisten - De Rød-Grønne;Johanne Skriver;7
1. Roskilde Bymidte;Ø;Enhedslisten - De Rød-Grønne;Torben Ankjærgaard;3
1. Roskilde Bymidte;Ø;Enhedslisten - De Rød-Grønne;Hermand Pedersen;1
1. Roskilde Bymidte;Ø;Enhedslisten - De Rød-Grønne;Bodil Lynggård Hansen;5
1. Roskilde Bymidte;Ø;Enhedslisten - De Rød-Grønne;Ingrid Seidenfaden;2
1. Roskilde Bymidte;Ø;Enhedslisten - De Rød-Grønne;Jesper Mobeck;3
1. Roskilde Bymidte;Ø;Enhedslisten - De Rød-Grønne;Suzy Katrine Brown;1
1. Roskilde Bymidte;Ø;Enhedslisten - De Rød-Grønne;Rie Linde;1
1. Roskilde Bymidte;Ø;Enhedslisten - De Rød-Grønne;Åge Martin Skovrind;1
1. Roskilde Bymidte;Ø;Enhedslisten - De Rød-Grønne;Jørgen Berger Aafalk;0
1. Roskilde Bymidte;Ø;Enhedslisten - De Rød-Grønne;Linda Johansen;4
1. Roskilde Bymidte;Ø;Enhedslisten - De Rød-Grønne;Rune T. Kidde;12
1. Roskilde Bymidte;Ø;Enhedslisten - De Rød-Grønne;Susanne Lysholm Jensen;1
2. Klostermarken;A;Socialdemokratiet;Listestemmer;210
2. Klostermarken;A;Socialdemokratiet;Poul Lindor Nielsen;228
2. Klostermarken;A;Socialdemokratiet;Joy Mogensen, Roskilde;80
2. Klostermarken;A;Socialdemokratiet;Bente Dieckmann, Roskilde;36
2. Klostermarken;A;Socialdemokratiet;Jakob Bojsen, Roskilde;11
2. Klostermarken;A;Socialdemokratiet;Morten Gjerskov, Jyllinge;5
2. Klostermarken;A;Socialdemokratiet;Frede Lærke Pedersen, Gadstrup;5
2. Klostermarken;A;Socialdemokratiet;Gert Hovald, Roskilde;50
2. Klostermarken;A;Socialdemokratiet;Torben Jørgensen, Roskilde;22
2. Klostermarken;A;Socialdemokratiet;Cemal Oklu, Roskilde;5
2. Klostermarken;A;Socialdemokratiet;Christian Kryger, Roskilde;4
2. Klostermarken;A;Socialdemokratiet;Hanne Eisen, Vindinge;17
2. Klostermarken;A;Socialdemokratiet;Bo Bjørn Madsen, Roskilde;2
2. Klostermarken;A;Socialdemokratiet;Claus Larsen, Jyllinge;0
2. Klostermarken;A;Socialdemokratiet;Vivi Jacobsen, Roskilde;17
2. Klostermarken;A;Socialdemokratiet;Tomas Breddam, Trekroner;2
2. Klostermarken;A;Socialdemokratiet;Kaj V. Hansen, Roskilde;47
2. Klostermarken;A;Socialdemokratiet;Poul Andersen, Jyllinge;3
2. Klostermarken;A;Socialdemokratiet;Christian Gross Christensen, Rosk.;1
2. Klostermarken;A;Socialdemokratiet;Poul Qvist Jørgensen, Skt. Jørgen;0
2. Klostermarken;A;Socialdemokratiet;Stig Hirsbak, St. Valby;1
2. Klostermarken;A;Socialdemokratiet;Piet Grønlund Nielsen, Roskilde;31
2. Klostermarken;A;Socialdemokratiet;Kenneth Sejlø Andersen, Roskilde;9
2. Klostermarken;A;Socialdemokratiet;Kristoffer Lindholt, Slæggerup;0
2. Klostermarken;A;Socialdemokratiet;Visti Christensen, Svogerslev;2
2. Klostermarken;B;Det Radikale Venstre;Listestemmer;44
2. Klostermarken;B;Det Radikale Venstre;Ingelise Hansen, Roskilde;21
2. Klostermarken;B;Det Radikale Venstre;Zenia Stampe;35
2. Klostermarken;B;Det Radikale Venstre;Samira Ahmad, Roskilde;39
2. Klostermarken;B;Det Radikale Venstre;Jeppe Trolle, Trekroner;15
2. Klostermarken;B;Det Radikale Venstre;Johan Leo, Gadstrup;0
2. Klostermarken;B;Det Radikale Venstre;Kristian Borch, Jyllinge;0
2. Klostermarken;B;Det Radikale Venstre;Jakob Dorph Broager, Roskilde;0
2. Klostermarken;B;Det Radikale Venstre;Christian Lyng, Gundsømagle;1
2. Klostermarken;B;Det Radikale Venstre;Jeppe Fransson;0
2. Klostermarken;B;Det Radikale Venstre;Lotte Nowack;6
2. Klostermarken;B;Det Radikale Venstre;Gunnar Gissel Nielsen;2
2. Klostermarken;B;Det Radikale Venstre;Lars Paisley, Roskilde;8
2. Klostermarken;B;Det Radikale Venstre;Kirsten Bjerager;2
2. Klostermarken;B;Det Radikale Venstre;Hans-Henrik Kjølhede;0
2. Klostermarken;B;Det Radikale Venstre;Thomas Ryhl, Herringløse;2
2. Klostermarken;B;Det Radikale Venstre;Henrik Skov;0
2. Klostermarken;B;Det Radikale Venstre;Gorm Bruun Hansen;1
2. Klostermarken;B;Det Radikale Venstre;Anders Fransson;0
2. Klostermarken;C;Det Konservative Folkeparti;Listestemmer;155
2. Klostermarken;C;Det Konservative Folkeparti;Carsten Wickmann;158
2. Klostermarken;C;Det Konservative Folkeparti;Tom Hjorth Andersen;21
2. Klostermarken;C;Det Konservative Folkeparti;Jan Herskov;17
2. Klostermarken;C;Det Konservative Folkeparti;Anne-Marie Kristensen;26
2. Klostermarken;C;Det Konservative Folkeparti;Kasper Witzke;3
2. Klostermarken;C;Det Konservative Folkeparti;Keld Holm;9
2. Klostermarken;C;Det Konservative Folkeparti;John Jacobsen, Svogerslev;3
2. Klostermarken;C;Det Konservative Folkeparti;Mona Fugloy;13
2. Klostermarken;C;Det Konservative Folkeparti;Torben Groth, Jyllinge;0
2. Klostermarken;C;Det Konservative Folkeparti;Gustav Gerstrøm;0
2. Klostermarken;C;Det Konservative Folkeparti;Ove Boh Larsen, Roskilde;10
2. Klostermarken;C;Det Konservative Folkeparti;Anna Skov Hansen;75
2. Klostermarken;C;Det Konservative Folkeparti;Lars Lindskov;17
2. Klostermarken;F;SF - Socialitisk Folkeparti;Listestemmer;252
2. Klostermarken;F;SF - Socialitisk Folkeparti;Henrik Stougaard;110
2. Klostermarken;F;SF - Socialitisk Folkeparti;Birgit Pedersen;50
2. Klostermarken;F;SF - Socialitisk Folkeparti;Torben Olsen;38
2. Klostermarken;F;SF - Socialitisk Folkeparti;Jan Bjergskov Larsen;50
2. Klostermarken;F;SF - Socialitisk Folkeparti;Mette Truesen;83
2. Klostermarken;F;SF - Socialitisk Folkeparti;Tuncay Yilmaz;5
2. Klostermarken;F;SF - Socialitisk Folkeparti;Kim Raben;32
2. Klostermarken;F;SF - Socialitisk Folkeparti;Hans Peder From;3
2. Klostermarken;F;SF - Socialitisk Folkeparti;Steen E. Damkjær;3
2. Klostermarken;F;SF - Socialitisk Folkeparti;Ida Espersen;6
2. Klostermarken;F;SF - Socialitisk Folkeparti;Henrik Schubart;0
2. Klostermarken;F;SF - Socialitisk Folkeparti;Bodil Damgaard Andersen;0
2. Klostermarken;F;SF - Socialitisk Folkeparti;Samir Salameh;6
2. Klostermarken;F;SF - Socialitisk Folkeparti;Karin Andersen;3
2. Klostermarken;F;SF - Socialitisk Folkeparti;Mikkel Frost;1
2. Klostermarken;F;SF - Socialitisk Folkeparti;Erik Gaden;0
2. Klostermarken;F;SF - Socialitisk Folkeparti;Bo Henriksen;0
2. Klostermarken;F;SF - Socialitisk Folkeparti;Mads Christian Præstegaard;1
2. Klostermarken;F;SF - Socialitisk Folkeparti;Kirsten Bielce;2
2. Klostermarken;F;SF - Socialitisk Folkeparti;Jeppe Lopdrup Gjerum;1
2. Klostermarken;F;SF - Socialitisk Folkeparti;Lene Stick Andersen;4
2. Klostermarken;F;SF - Socialitisk Folkeparti;Carsten Bækgaard;0
2. Klostermarken;F;SF - Socialitisk Folkeparti;Asger Zornow;1
2. Klostermarken;F;SF - Socialitisk Folkeparti;Tina Boel;29
2. Klostermarken;F;SF - Socialitisk Folkeparti;Rikke Houkjær;3
2. Klostermarken;F;SF - Socialitisk Folkeparti;Peder Pedersen;0
2. Klostermarken;F;SF - Socialitisk Folkeparti;Jens Brandt Pedersen;0
2. Klostermarken;I;Liberal Alliance;Listestemmer;2
2. Klostermarken;I;Liberal Alliance;David Arborg, Roskilde;7
2. Klostermarken;L;Larsens Plads;Listestemmer;5
2. Klostermarken;L;Larsens Plads;Finn O. Larsen;9
2. Klostermarken;O;Dansk Folkeparti;Listestemmer;81
2. Klostermarken;O;Dansk Folkeparti;Merete Dea Møller Larsen;63
2. Klostermarken;O;Dansk Folkeparti;Holger Bernild;5
2. Klostermarken;O;Dansk Folkeparti;Birgith Lillian Hyldgaard;5
2. Klostermarken;O;Dansk Folkeparti;Poul Arne Vangslev;5
2. Klostermarken;O;Dansk Folkeparti;Tage Skaaning Nielsen;4
2. Klostermarken;O;Dansk Folkeparti;Sv. Haukjær Andersen;0
2. Klostermarken;O;Dansk Folkeparti;Hanne M. Paulsen;4
2. Klostermarken;R;Roskildelisten;Listestemmer;0
2. Klostermarken;R;Roskildelisten;Michael Korn;0
2. Klostermarken;V;Venstre, Danmarks Liberale Parti;Listestemmer;227
2. Klostermarken;V;Venstre, Danmarks Liberale Parti;Evan Lynnerup;166
2. Klostermarken;V;Venstre, Danmarks Liberale Parti;Peter Madsen;63
2. Klostermarken;V;Venstre, Danmarks Liberale Parti;Gitte Kronbak Nielsen, Viby Sj.;6
2. Klostermarken;V;Venstre, Danmarks Liberale Parti;Lars Berg Olsen, Dåstrup;7
2. Klostermarken;V;Venstre, Danmarks Liberale Parti;Bent Jørgensen, Svogerslev;46
2. Klostermarken;V;Venstre, Danmarks Liberale Parti;Annie Larsen;123
2. Klostermarken;V;Venstre, Danmarks Liberale Parti;Michael Dyre-Ousted;1
2. Klostermarken;V;Venstre, Danmarks Liberale Parti;Carsten Bülow Ørsnæs;0
2. Klostermarken;V;Venstre, Danmarks Liberale Parti;Mads Ravndrup Thomsen, Roskilde;11
2. Klostermarken;V;Venstre, Danmarks Liberale Parti;Peter Bager, Jyllinge;0
2. Klostermarken;V;Venstre, Danmarks Liberale Parti;Birthe Kjerulff Jacobsen, Viby;0
2. Klostermarken;V;Venstre, Danmarks Liberale Parti;Fleming Friis Larsen, Roskilde;6
2. Klostermarken;V;Venstre, Danmarks Liberale Parti;Lizzi Tvede Waagstein, Roskilde;15
2. Klostermarken;V;Venstre, Danmarks Liberale Parti;Klaas Venborg, Jyllinge;3
2. Klostermarken;V;Venstre, Danmarks Liberale Parti;Torben Svendsen, Roskilde;23
2. Klostermarken;V;Venstre, Danmarks Liberale Parti;Karsten Sivgaard, Gadstrup;1
2. Klostermarken;V;Venstre, Danmarks Liberale Parti;Torben Wellan, Roskilde;1
2. Klostermarken;V;Venstre, Danmarks Liberale Parti;Christina Sofie Byrdal, Jyllinge;2
2. Klostermarken;V;Venstre, Danmarks Liberale Parti;Flemming Berner, Jyllinge;0
2. Klostermarken;V;Venstre, Danmarks Liberale Parti;Anita Ø. Olsen, Viby Sj.;0
2. Klostermarken;Ø;Enhedslisten - De Rød-Grønne;Listestemmer;44
2. Klostermarken;Ø;Enhedslisten - De Rød-Grønne;Christian Holtet;13
2. Klostermarken;Ø;Enhedslisten - De Rød-Grønne;Jonas Bejer Paludan;3
2. Klostermarken;Ø;Enhedslisten - De Rød-Grønne;Betina Sørensen;9
2. Klostermarken;Ø;Enhedslisten - De Rød-Grønne;Jacob Stevne Jørgensen;3
2. Klostermarken;Ø;Enhedslisten - De Rød-Grønne;Johanne Skriver;9
2. Klostermarken;Ø;Enhedslisten - De Rød-Grønne;Torben Ankjærgaard;5
2. Klostermarken;Ø;Enhedslisten - De Rød-Grønne;Hermand Pedersen;2
2. Klostermarken;Ø;Enhedslisten - De Rød-Grønne;Bodil Lynggård Hansen;4
2. Klostermarken;Ø;Enhedslisten - De Rød-Grønne;Ingrid Seidenfaden;2
2. Klostermarken;Ø;Enhedslisten - De Rød-Grønne;Jesper Mobeck;1
2. Klostermarken;Ø;Enhedslisten - De Rød-Grønne;Suzy Katrine Brown;0
2. Klostermarken;Ø;Enhedslisten - De Rød-Grønne;Rie Linde;1
2. Klostermarken;Ø;Enhedslisten - De Rød-Grønne;Åge Martin Skovrind;4
2. Klostermarken;Ø;Enhedslisten - De Rød-Grønne;Jørgen Berger Aafalk;1
2. Klostermarken;Ø;Enhedslisten - De Rød-Grønne;Linda Johansen;0
2. Klostermarken;Ø;Enhedslisten - De Rød-Grønne;Rune T. Kidde;4
2. Klostermarken;Ø;Enhedslisten - De Rød-Grønne;Susanne Lysholm Jensen;0
3. Sankt Jørgen;A;Socialdemokratiet;Listestemmer;349
3. Sankt Jørgen;A;Socialdemokratiet;Poul Lindor Nielsen;330
3. Sankt Jørgen;A;Socialdemokratiet;Joy Mogensen, Roskilde;148
3. Sankt Jørgen;A;Socialdemokratiet;Bente Dieckmann, Roskilde;35
3. Sankt Jørgen;A;Socialdemokratiet;Jakob Bojsen, Roskilde;31
3. Sankt Jørgen;A;Socialdemokratiet;Morten Gjerskov, Jyllinge;8
3. Sankt Jørgen;A;Socialdemokratiet;Frede Lærke Pedersen, Gadstrup;6
3. Sankt Jørgen;A;Socialdemokratiet;Gert Hovald, Roskilde;29
3. Sankt Jørgen;A;Socialdemokratiet;Torben Jørgensen, Roskilde;38
3. Sankt Jørgen;A;Socialdemokratiet;Cemal Oklu, Roskilde;47
3. Sankt Jørgen;A;Socialdemokratiet;Christian Kryger, Roskilde;9
3. Sankt Jørgen;A;Socialdemokratiet;Hanne Eisen, Vindinge;6
3. Sankt Jørgen;A;Socialdemokratiet;Bo Bjørn Madsen, Roskilde;5
3. Sankt Jørgen;A;Socialdemokratiet;Claus Larsen, Jyllinge;4
3. Sankt Jørgen;A;Socialdemokratiet;Vivi Jacobsen, Roskilde;44
3. Sankt Jørgen;A;Socialdemokratiet;Tomas Breddam, Trekroner;1
3. Sankt Jørgen;A;Socialdemokratiet;Kaj V. Hansen, Roskilde;50
3. Sankt Jørgen;A;Socialdemokratiet;Poul Andersen, Jyllinge;1
3. Sankt Jørgen;A;Socialdemokratiet;Christian Gross Christensen, Rosk.;0
3. Sankt Jørgen;A;Socialdemokratiet;Poul Qvist Jørgensen, Skt. Jørgen;17
3. Sankt Jørgen;A;Socialdemokratiet;Stig Hirsbak, St. Valby;1
3. Sankt Jørgen;A;Socialdemokratiet;Piet Grønlund Nielsen, Roskilde;10
3. Sankt Jørgen;A;Socialdemokratiet;Kenneth Sejlø Andersen, Roskilde;4
3. Sankt Jørgen;A;Socialdemokratiet;Kristoffer Lindholt, Slæggerup;1
3. Sankt Jørgen;A;Socialdemokratiet;Visti Christensen, Svogerslev;4
3. Sankt Jørgen;B;Det Radikale Venstre;Listestemmer;60
3. Sankt Jørgen;B;Det Radikale Venstre;Ingelise Hansen, Roskilde;16
3. Sankt Jørgen;B;Det Radikale Venstre;Zenia Stampe;42
3. Sankt Jørgen;B;Det Radikale Venstre;Samira Ahmad, Roskilde;64
3. Sankt Jørgen;B;Det Radikale Venstre;Jeppe Trolle, Trekroner;19
3. Sankt Jørgen;B;Det Radikale Venstre;Johan Leo, Gadstrup;0
3. Sankt Jørgen;B;Det Radikale Venstre;Kristian Borch, Jyllinge;0
3. Sankt Jørgen;B;Det Radikale Venstre;Jakob Dorph Broager, Roskilde;1
3. Sankt Jørgen;B;Det Radikale Venstre;Christian Lyng, Gundsømagle;1
3. Sankt Jørgen;B;Det Radikale Venstre;Jeppe Fransson;2
3. Sankt Jørgen;B;Det Radikale Venstre;Lotte Nowack;0
3. Sankt Jørgen;B;Det Radikale Venstre;Gunnar Gissel Nielsen;0
3. Sankt Jørgen;B;Det Radikale Venstre;Lars Paisley, Roskilde;1
3. Sankt Jørgen;B;Det Radikale Venstre;Kirsten Bjerager;3
3. Sankt Jørgen;B;Det Radikale Venstre;Hans-Henrik Kjølhede;0
3. Sankt Jørgen;B;Det Radikale Venstre;Thomas Ryhl, Herringløse;1
3. Sankt Jørgen;B;Det Radikale Venstre;Henrik Skov;0
3. Sankt Jørgen;B;Det Radikale Venstre;Gorm Bruun Hansen;1
3. Sankt Jørgen;B;Det Radikale Venstre;Anders Fransson;0
3. Sankt Jørgen;C;Det Konservative Folkeparti;Listestemmer;105
3. Sankt Jørgen;C;Det Konservative Folkeparti;Carsten Wickmann;115
3. Sankt Jørgen;C;Det Konservative Folkeparti;Tom Hjorth Andersen;17
3. Sankt Jørgen;C;Det Konservative Folkeparti;Jan Herskov;9
3. Sankt Jørgen;C;Det Konservative Folkeparti;Anne-Marie Kristensen;7
3. Sankt Jørgen;C;Det Konservative Folkeparti;Kasper Witzke;2
3. Sankt Jørgen;C;Det Konservative Folkeparti;Keld Holm;12
3. Sankt Jørgen;C;Det Konservative Folkeparti;John Jacobsen, Svogerslev;1
3. Sankt Jørgen;C;Det Konservative Folkeparti;Mona Fugloy;7
3. Sankt Jørgen;C;Det Konservative Folkeparti;Torben Groth, Jyllinge;1
3. Sankt Jørgen;C;Det Konservative Folkeparti;Gustav Gerstrøm;0
3. Sankt Jørgen;C;Det Konservative Folkeparti;Ove Boh Larsen, Roskilde;5
3. Sankt Jørgen;C;Det Konservative Folkeparti;Anna Skov Hansen;33
