Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Roskilde Bymidte;A;Socialdemokratiet;Listestemmer;165
1. Roskilde Bymidte;A;Socialdemokratiet;Tomas Breddam, Roskilde;171
1. Roskilde Bymidte;A;Socialdemokratiet;Signe Kaulberg, Roskilde;88
1. Roskilde Bymidte;A;Socialdemokratiet;Troels Toft, Roskilde;28
1. Roskilde Bymidte;A;Socialdemokratiet;Chili Preisler-Andersen, Roskilde;34
1. Roskilde Bymidte;A;Socialdemokratiet;Claus Larsen, Jyllinge;8
1. Roskilde Bymidte;A;Socialdemokratiet;Anne Marie Wulff Hedenborg, Roskilde;21
1. Roskilde Bymidte;A;Socialdemokratiet;René Vejby Kierch, Roskilde;13
1. Roskilde Bymidte;A;Socialdemokratiet;Morgan Krüger, Roskilde;17
1. Roskilde Bymidte;A;Socialdemokratiet;Thomas Bach Jørgensen, Viby;13
1. Roskilde Bymidte;A;Socialdemokratiet;Filiz Sarah Thunø, Jyllinge;6
1. Roskilde Bymidte;A;Socialdemokratiet;Dorthe Pagh, Himmelev;15
1. Roskilde Bymidte;A;Socialdemokratiet;Gitte Simoni, Vindinge;4
1. Roskilde Bymidte;A;Socialdemokratiet;Edisa Bajtarevic, Roskilde;11
1. Roskilde Bymidte;A;Socialdemokratiet;Tuncay Yilmaz, Roskilde;6
1. Roskilde Bymidte;A;Socialdemokratiet;Jean-Luc Ngassa, Roskilde;1
1. Roskilde Bymidte;A;Socialdemokratiet;Samir Salameh, Roskilde;2
1. Roskilde Bymidte;A;Socialdemokratiet;Frank Hvid Petersen, Trekroner;7
1. Roskilde Bymidte;B;Radikale Venstre;Listestemmer;54
1. Roskilde Bymidte;B;Radikale Venstre;Jeppe Trolle, Viby Sjælland;57
1. Roskilde Bymidte;B;Radikale Venstre;Jeppe Fransson, Roskilde;15
1. Roskilde Bymidte;B;Radikale Venstre;Helena Tjørnelund, Roskilde;13
1. Roskilde Bymidte;B;Radikale Venstre;Daniel Moltke-Prehn, Roskilde;7
1. Roskilde Bymidte;B;Radikale Venstre;Andreas Nøhr Vestergaard, Himmelev;19
1. Roskilde Bymidte;B;Radikale Venstre;Karin Berg, Sankt Jørgensbjerg;26
1. Roskilde Bymidte;B;Radikale Venstre;Jens Erik Ørum, Svogerslev;1
1. Roskilde Bymidte;B;Radikale Venstre;Helena Elisabeth Christensen, Roskilde;3
1. Roskilde Bymidte;B;Radikale Venstre;Ina Lykke Jensen, Himmelev;4
1. Roskilde Bymidte;B;Radikale Venstre;Anders Rohde, Roskilde;2
1. Roskilde Bymidte;C;Det Konservative Folkeparti;Listestemmer;114
1. Roskilde Bymidte;C;Det Konservative Folkeparti;Rasmus Jarlov, Gadstrup;356
1. Roskilde Bymidte;C;Det Konservative Folkeparti;Victoria Helene Olsen, Roskilde;84
1. Roskilde Bymidte;C;Det Konservative Folkeparti;Mogens Hallager, Jyllinge;11
1. Roskilde Bymidte;C;Det Konservative Folkeparti;Pierre Kary, Jyllinge;5
1. Roskilde Bymidte;C;Det Konservative Folkeparti;Kenneth Holmen Pedersen, Roskilde;28
1. Roskilde Bymidte;C;Det Konservative Folkeparti;Yalcin Dogan, Roskilde;3
1. Roskilde Bymidte;C;Det Konservative Folkeparti;Camilla Sabroe Parbst, Roskilde;4
1. Roskilde Bymidte;C;Det Konservative Folkeparti;Jesper Reming Tangbæk, Roskilde;6
1. Roskilde Bymidte;C;Det Konservative Folkeparti;Samuel Rützou, Jyllinge;0
1. Roskilde Bymidte;C;Det Konservative Folkeparti;Mikkel Grøndahl, Himmelev;8
1. Roskilde Bymidte;C;Det Konservative Folkeparti;Kim Worch, Vindinge;1
1. Roskilde Bymidte;C;Det Konservative Folkeparti;Trine Hallager Brix, Roskilde;0
1. Roskilde Bymidte;C;Det Konservative Folkeparti;Paul Thalund, Dåstrup;2
1. Roskilde Bymidte;C;Det Konservative Folkeparti;Charlotte Bjørn Guldbrandt, Roskilde;2
1. Roskilde Bymidte;C;Det Konservative Folkeparti;Brian Hornuff, Roskilde;0
1. Roskilde Bymidte;F;SF - Socialistisk Folkeparti;Listestemmer;193
1. Roskilde Bymidte;F;SF - Socialistisk Folkeparti;Tina Boel, Roskilde;228
1. Roskilde Bymidte;F;SF - Socialistisk Folkeparti;Kim Raben, Musicon;20
1. Roskilde Bymidte;F;SF - Socialistisk Folkeparti;Julia Hunt, Roskilde;37
1. Roskilde Bymidte;F;SF - Socialistisk Folkeparti;Jeanne Bergmansen, Roskilde;35
1. Roskilde Bymidte;F;SF - Socialistisk Folkeparti;Kim Elmose, Musicon;1
1. Roskilde Bymidte;F;SF - Socialistisk Folkeparti;Amanda Frohn, Musicon;11
1. Roskilde Bymidte;F;SF - Socialistisk Folkeparti;Mette Truesen, Svogerslev;50
1. Roskilde Bymidte;F;SF - Socialistisk Folkeparti;Ane Ring Laursen, Vor Frue;0
1. Roskilde Bymidte;F;SF - Socialistisk Folkeparti;Susanne Bech, Trekroner;4
1. Roskilde Bymidte;F;SF - Socialistisk Folkeparti;Cita Iskov Nielsen, Trekroner;4
1. Roskilde Bymidte;F;SF - Socialistisk Folkeparti;Hellen Hilander, Jyllinge;0
1. Roskilde Bymidte;F;SF - Socialistisk Folkeparti;Dan Frimark, Roskilde;9
1. Roskilde Bymidte;F;SF - Socialistisk Folkeparti;Martin Reetz Kæmsgaard, Roskilde;4
1. Roskilde Bymidte;F;SF - Socialistisk Folkeparti;Mette Storm Elner, Roskilde;3
1. Roskilde Bymidte;I;Liberal Alliance;Listestemmer;79
1. Roskilde Bymidte;I;Liberal Alliance;Lars-Christian Brask;142
1. Roskilde Bymidte;I;Liberal Alliance;Daniel Elmann;22
1. Roskilde Bymidte;I;Liberal Alliance;Viktoria Kruse;5
1. Roskilde Bymidte;I;Liberal Alliance;Kirsten Krogh Petersen;16
1. Roskilde Bymidte;I;Liberal Alliance;Maria Kongsaa;7
1. Roskilde Bymidte;I;Liberal Alliance;Thomas Erringsø;22
1. Roskilde Bymidte;I;Liberal Alliance;Nicolai Bach-Pedersen;4
1. Roskilde Bymidte;I;Liberal Alliance;Nikolaj Vester;4
1. Roskilde Bymidte;L;Lokallisten Roskilde;Listestemmer;12
1. Roskilde Bymidte;L;Lokallisten Roskilde;Trine Borre, Roskilde;30
1. Roskilde Bymidte;L;Lokallisten Roskilde;Anne Fabricius Murmann, Trekroner;13
1. Roskilde Bymidte;L;Lokallisten Roskilde;David Løth, Roskilde;0
1. Roskilde Bymidte;L;Lokallisten Roskilde;Niels Kramme Pedersen, Svogerslev;2
1. Roskilde Bymidte;L;Lokallisten Roskilde;Nanna Feld, Viby Sj.;3
1. Roskilde Bymidte;L;Lokallisten Roskilde;Signe Plambæk, Roskilde;1
1. Roskilde Bymidte;L;Lokallisten Roskilde;Bo H. Jensen, Jyllinge;2
1. Roskilde Bymidte;L;Lokallisten Roskilde;Jonas Gotfredsen, Roskilde;0
1. Roskilde Bymidte;L;Lokallisten Roskilde;Mette Kristensen, Svogerslev;0
1. Roskilde Bymidte;L;Lokallisten Roskilde;Laura Borre, Roskilde;9
1. Roskilde Bymidte;L;Lokallisten Roskilde;Nikolaj Vandrup, Trekroner;1
1. Roskilde Bymidte;M;Moderaterne;Listestemmer;30
1. Roskilde Bymidte;M;Moderaterne;Jan Carlsen;9
1. Roskilde Bymidte;M;Moderaterne;Gitte Møller;3
1. Roskilde Bymidte;M;Moderaterne;Kristopher Sørensen;7
1. Roskilde Bymidte;M;Moderaterne;Jens Müller;15
1. Roskilde Bymidte;M;Moderaterne;Lars Lindskov;55
1. Roskilde Bymidte;M;Moderaterne;Lizzi Tvede Waagstein;2
1. Roskilde Bymidte;M;Moderaterne;Jacob Lillelund Bech;0
1. Roskilde Bymidte;M;Moderaterne;Anna Peuliche Vogelsang;4
1. Roskilde Bymidte;O;Dansk Folkeparti;Listestemmer;65
1. Roskilde Bymidte;O;Dansk Folkeparti;Merete Dea Larsen;69
1. Roskilde Bymidte;O;Dansk Folkeparti;Jan Herskov;24
1. Roskilde Bymidte;O;Dansk Folkeparti;Steffen Dons;7
1. Roskilde Bymidte;O;Dansk Folkeparti;Lars Kruse;8
1. Roskilde Bymidte;O;Dansk Folkeparti;Kasper Christensen;0
1. Roskilde Bymidte;O;Dansk Folkeparti;Linda Roed;0
1. Roskilde Bymidte;O;Dansk Folkeparti;Frank Hansen;1
1. Roskilde Bymidte;O;Dansk Folkeparti;Karsten Lorentzen;0
1. Roskilde Bymidte;V;Venstre - Danmarks Liberale Parti;Listestemmer;99
1. Roskilde Bymidte;V;Venstre - Danmarks Liberale Parti;Jette Tjørnelund, Viby;77
1. Roskilde Bymidte;V;Venstre - Danmarks Liberale Parti;Jacob Søegaard, Ågerup;14
1. Roskilde Bymidte;V;Venstre - Danmarks Liberale Parti;Bent Jørgensen, Svogerslev;22
1. Roskilde Bymidte;V;Venstre - Danmarks Liberale Parti;Peter Bager, Jyllinge;2
1. Roskilde Bymidte;V;Venstre - Danmarks Liberale Parti;Bjarke Reitzel-Buchholz, Roskilde;17
1. Roskilde Bymidte;V;Venstre - Danmarks Liberale Parti;Allan Bruce Corfitsen, Roskilde;4
1. Roskilde Bymidte;V;Venstre - Danmarks Liberale Parti;Claus Mortensen, Himmelev;0
1. Roskilde Bymidte;V;Venstre - Danmarks Liberale Parti;Deniz Said, Roskilde;6
1. Roskilde Bymidte;V;Venstre - Danmarks Liberale Parti;Marie Dam, Roskilde;5
1. Roskilde Bymidte;V;Venstre - Danmarks Liberale Parti;Villads Sørensen, Snoldelev-Hastrup;2
1. Roskilde Bymidte;V;Venstre - Danmarks Liberale Parti;Torben Andersen, Kumlehuse;0
1. Roskilde Bymidte;V;Venstre - Danmarks Liberale Parti;Anders Høgdal Larsen, Gadstrup;0
1. Roskilde Bymidte;V;Venstre - Danmarks Liberale Parti;Kim Jeppe Wass, Roskilde;1
1. Roskilde Bymidte;V;Venstre - Danmarks Liberale Parti;Torben Svendsen, Veddelev;1
1. Roskilde Bymidte;V;Venstre - Danmarks Liberale Parti;Knud J. Vest, Jyllinge;0
1. Roskilde Bymidte;V;Venstre - Danmarks Liberale Parti;Dennis Knudsen, Roskilde;1
1. Roskilde Bymidte;Æ;Danmarksdemokraterne - Inger Støjberg;Listestemmer;16
1. Roskilde Bymidte;Æ;Danmarksdemokraterne - Inger Støjberg;Kim B. Nielsen;3
1. Roskilde Bymidte;Æ;Danmarksdemokraterne - Inger Støjberg;Svend-Erik B. Nielsen;0
1. Roskilde Bymidte;Ø;Enhedslisten - De Rød-Grønne;Listestemmer;130
1. Roskilde Bymidte;Ø;Enhedslisten - De Rød-Grønne;Anna Bondo Nielsen, Roskilde;199
1. Roskilde Bymidte;Ø;Enhedslisten - De Rød-Grønne;Birgitte Baktoft, Himmelev;16
1. Roskilde Bymidte;Ø;Enhedslisten - De Rød-Grønne;Danny Nielsen, Roskilde;11
1. Roskilde Bymidte;Ø;Enhedslisten - De Rød-Grønne;Adam Ahlstrand Christensen, Trekroner;11
1. Roskilde Bymidte;Ø;Enhedslisten - De Rød-Grønne;Ellie Rank Sabransky, Trekroner;7
1. Roskilde Bymidte;Ø;Enhedslisten - De Rød-Grønne;Gert Petersen, Musicon;3
1. Roskilde Bymidte;Ø;Enhedslisten - De Rød-Grønne;Ester Beha, Roskilde;4
1. Roskilde Bymidte;Ø;Enhedslisten - De Rød-Grønne;Lucia Carriere, Roskilde;4
1. Roskilde Bymidte;Ø;Enhedslisten - De Rød-Grønne;Thomas Toft, Viby;1
1. Roskilde Bymidte;Ø;Enhedslisten - De Rød-Grønne;Michael Larsen, Jyllinge;0
1. Roskilde Bymidte;Ø;Enhedslisten - De Rød-Grønne;Victor Irming, Trekroner;0
1. Roskilde Bymidte;Ø;Enhedslisten - De Rød-Grønne;Henning Bentzen, Himmelev;1
1. Roskilde Bymidte;Ø;Enhedslisten - De Rød-Grønne;Annie Grim Balsen, Roskilde;2
1. Roskilde Bymidte;Ø;Enhedslisten - De Rød-Grønne;Theresa Maria Folke Olesen, Roskilde;1
1. Roskilde Bymidte;Ø;Enhedslisten - De Rød-Grønne;Xenia Anderson, Trekroner;2
1. Roskilde Bymidte;Ø;Enhedslisten - De Rød-Grønne;Per Nielsen, Gadstrup;3
1. Roskilde Bymidte;Ø;Enhedslisten - De Rød-Grønne;Bodil Kjærum, Roskilde;4
1. Roskilde Bymidte;Ø;Enhedslisten - De Rød-Grønne;Peder Pedersen, Vor Frue;0
1. Roskilde Bymidte;Ø;Enhedslisten - De Rød-Grønne;Åge Skovrind, Roskilde;3
1. Roskilde Bymidte;Ø;Enhedslisten - De Rød-Grønne;Anne Haarløv, Roskilde;5
1. Roskilde Bymidte;Ø;Enhedslisten - De Rød-Grønne;Henrik Palsmar, Roskilde;1
1. Roskilde Bymidte;Ø;Enhedslisten - De Rød-Grønne;Aslak Beha, Roskilde;2
1. Roskilde Bymidte;Å;Alternativet;Listestemmer;10
1. Roskilde Bymidte;Å;Alternativet;Isabella Apelroth;10
2. Klostermarken;A;Socialdemokratiet;Listestemmer;197
2. Klostermarken;A;Socialdemokratiet;Tomas Breddam, Roskilde;223
2. Klostermarken;A;Socialdemokratiet;Signe Kaulberg, Roskilde;82
2. Klostermarken;A;Socialdemokratiet;Troels Toft, Roskilde;119
2. Klostermarken;A;Socialdemokratiet;Chili Preisler-Andersen, Roskilde;47
2. Klostermarken;A;Socialdemokratiet;Claus Larsen, Jyllinge;5
2. Klostermarken;A;Socialdemokratiet;Anne Marie Wulff Hedenborg, Roskilde;36
2. Klostermarken;A;Socialdemokratiet;René Vejby Kierch, Roskilde;34
2. Klostermarken;A;Socialdemokratiet;Morgan Krüger, Roskilde;14
2. Klostermarken;A;Socialdemokratiet;Thomas Bach Jørgensen, Viby;13
2. Klostermarken;A;Socialdemokratiet;Filiz Sarah Thunø, Jyllinge;7
2. Klostermarken;A;Socialdemokratiet;Dorthe Pagh, Himmelev;29
2. Klostermarken;A;Socialdemokratiet;Gitte Simoni, Vindinge;10
2. Klostermarken;A;Socialdemokratiet;Edisa Bajtarevic, Roskilde;5
2. Klostermarken;A;Socialdemokratiet;Tuncay Yilmaz, Roskilde;1
2. Klostermarken;A;Socialdemokratiet;Jean-Luc Ngassa, Roskilde;0
2. Klostermarken;A;Socialdemokratiet;Samir Salameh, Roskilde;3
2. Klostermarken;A;Socialdemokratiet;Frank Hvid Petersen, Trekroner;24
2. Klostermarken;B;Radikale Venstre;Listestemmer;71
2. Klostermarken;B;Radikale Venstre;Jeppe Trolle, Viby Sjælland;53
2. Klostermarken;B;Radikale Venstre;Jeppe Fransson, Roskilde;21
2. Klostermarken;B;Radikale Venstre;Helena Tjørnelund, Roskilde;18
2. Klostermarken;B;Radikale Venstre;Daniel Moltke-Prehn, Roskilde;18
2. Klostermarken;B;Radikale Venstre;Andreas Nøhr Vestergaard, Himmelev;23
2. Klostermarken;B;Radikale Venstre;Karin Berg, Sankt Jørgensbjerg;18
2. Klostermarken;B;Radikale Venstre;Jens Erik Ørum, Svogerslev;2
2. Klostermarken;B;Radikale Venstre;Helena Elisabeth Christensen, Roskilde;10
2. Klostermarken;B;Radikale Venstre;Ina Lykke Jensen, Himmelev;11
2. Klostermarken;B;Radikale Venstre;Anders Rohde, Roskilde;3
2. Klostermarken;C;Det Konservative Folkeparti;Listestemmer;127
2. Klostermarken;C;Det Konservative Folkeparti;Rasmus Jarlov, Gadstrup;484
2. Klostermarken;C;Det Konservative Folkeparti;Victoria Helene Olsen, Roskilde;70
2. Klostermarken;C;Det Konservative Folkeparti;Mogens Hallager, Jyllinge;12
2. Klostermarken;C;Det Konservative Folkeparti;Pierre Kary, Jyllinge;3
2. Klostermarken;C;Det Konservative Folkeparti;Kenneth Holmen Pedersen, Roskilde;14
2. Klostermarken;C;Det Konservative Folkeparti;Yalcin Dogan, Roskilde;7
2. Klostermarken;C;Det Konservative Folkeparti;Camilla Sabroe Parbst, Roskilde;9
2. Klostermarken;C;Det Konservative Folkeparti;Jesper Reming Tangbæk, Roskilde;41
2. Klostermarken;C;Det Konservative Folkeparti;Samuel Rützou, Jyllinge;8
2. Klostermarken;C;Det Konservative Folkeparti;Mikkel Grøndahl, Himmelev;18
2. Klostermarken;C;Det Konservative Folkeparti;Kim Worch, Vindinge;2
2. Klostermarken;C;Det Konservative Folkeparti;Trine Hallager Brix, Roskilde;5
2. Klostermarken;C;Det Konservative Folkeparti;Paul Thalund, Dåstrup;5
2. Klostermarken;C;Det Konservative Folkeparti;Charlotte Bjørn Guldbrandt, Roskilde;7
2. Klostermarken;C;Det Konservative Folkeparti;Brian Hornuff, Roskilde;0
2. Klostermarken;F;SF - Socialistisk Folkeparti;Listestemmer;156
2. Klostermarken;F;SF - Socialistisk Folkeparti;Tina Boel, Roskilde;231
2. Klostermarken;F;SF - Socialistisk Folkeparti;Kim Raben, Musicon;25
2. Klostermarken;F;SF - Socialistisk Folkeparti;Julia Hunt, Roskilde;27
2. Klostermarken;F;SF - Socialistisk Folkeparti;Jeanne Bergmansen, Roskilde;35
2. Klostermarken;F;SF - Socialistisk Folkeparti;Kim Elmose, Musicon;7
2. Klostermarken;F;SF - Socialistisk Folkeparti;Amanda Frohn, Musicon;10
2. Klostermarken;F;SF - Socialistisk Folkeparti;Mette Truesen, Svogerslev;39
2. Klostermarken;F;SF - Socialistisk Folkeparti;Ane Ring Laursen, Vor Frue;2
2. Klostermarken;F;SF - Socialistisk Folkeparti;Susanne Bech, Trekroner;17
2. Klostermarken;F;SF - Socialistisk Folkeparti;Cita Iskov Nielsen, Trekroner;9
2. Klostermarken;F;SF - Socialistisk Folkeparti;Hellen Hilander, Jyllinge;0
2. Klostermarken;F;SF - Socialistisk Folkeparti;Dan Frimark, Roskilde;5
2. Klostermarken;F;SF - Socialistisk Folkeparti;Martin Reetz Kæmsgaard, Roskilde;7
2. Klostermarken;F;SF - Socialistisk Folkeparti;Mette Storm Elner, Roskilde;2
2. Klostermarken;I;Liberal Alliance;Listestemmer;141
2. Klostermarken;I;Liberal Alliance;Lars-Christian Brask;83
2. Klostermarken;I;Liberal Alliance;Daniel Elmann;26
2. Klostermarken;I;Liberal Alliance;Viktoria Kruse;5
2. Klostermarken;I;Liberal Alliance;Kirsten Krogh Petersen;10
2. Klostermarken;I;Liberal Alliance;Maria Kongsaa;15
2. Klostermarken;I;Liberal Alliance;Thomas Erringsø;19
2. Klostermarken;I;Liberal Alliance;Nicolai Bach-Pedersen;3
2. Klostermarken;I;Liberal Alliance;Nikolaj Vester;2
2. Klostermarken;L;Lokallisten Roskilde;Listestemmer;17
2. Klostermarken;L;Lokallisten Roskilde;Trine Borre, Roskilde;32
2. Klostermarken;L;Lokallisten Roskilde;Anne Fabricius Murmann, Trekroner;13
2. Klostermarken;L;Lokallisten Roskilde;David Løth, Roskilde;6
2. Klostermarken;L;Lokallisten Roskilde;Niels Kramme Pedersen, Svogerslev;0
2. Klostermarken;L;Lokallisten Roskilde;Nanna Feld, Viby Sj.;4
2. Klostermarken;L;Lokallisten Roskilde;Signe Plambæk, Roskilde;5
2. Klostermarken;L;Lokallisten Roskilde;Bo H. Jensen, Jyllinge;0
2. Klostermarken;L;Lokallisten Roskilde;Jonas Gotfredsen, Roskilde;2
2. Klostermarken;L;Lokallisten Roskilde;Mette Kristensen, Svogerslev;0
2. Klostermarken;L;Lokallisten Roskilde;Laura Borre, Roskilde;4
2. Klostermarken;L;Lokallisten Roskilde;Nikolaj Vandrup, Trekroner;3
2. Klostermarken;M;Moderaterne;Listestemmer;21
2. Klostermarken;M;Moderaterne;Jan Carlsen;13
2. Klostermarken;M;Moderaterne;Gitte Møller;2
2. Klostermarken;M;Moderaterne;Kristopher Sørensen;3
2. Klostermarken;M;Moderaterne;Jens Müller;5
2. Klostermarken;M;Moderaterne;Lars Lindskov;38
2. Klostermarken;M;Moderaterne;Lizzi Tvede Waagstein;3
2. Klostermarken;M;Moderaterne;Jacob Lillelund Bech;0
2. Klostermarken;M;Moderaterne;Anna Peuliche Vogelsang;25
2. Klostermarken;O;Dansk Folkeparti;Listestemmer;67
2. Klostermarken;O;Dansk Folkeparti;Merete Dea Larsen;75
2. Klostermarken;O;Dansk Folkeparti;Jan Herskov;18
2. Klostermarken;O;Dansk Folkeparti;Steffen Dons;3
2. Klostermarken;O;Dansk Folkeparti;Lars Kruse;2
2. Klostermarken;O;Dansk Folkeparti;Kasper Christensen;2
2. Klostermarken;O;Dansk Folkeparti;Linda Roed;2
2. Klostermarken;O;Dansk Folkeparti;Frank Hansen;1
2. Klostermarken;O;Dansk Folkeparti;Karsten Lorentzen;1
2. Klostermarken;V;Venstre - Danmarks Liberale Parti;Listestemmer;91
2. Klostermarken;V;Venstre - Danmarks Liberale Parti;Jette Tjørnelund, Viby;102
2. Klostermarken;V;Venstre - Danmarks Liberale Parti;Jacob Søegaard, Ågerup;18
2. Klostermarken;V;Venstre - Danmarks Liberale Parti;Bent Jørgensen, Svogerslev;61
2. Klostermarken;V;Venstre - Danmarks Liberale Parti;Peter Bager, Jyllinge;5
2. Klostermarken;V;Venstre - Danmarks Liberale Parti;Bjarke Reitzel-Buchholz, Roskilde;18
2. Klostermarken;V;Venstre - Danmarks Liberale Parti;Allan Bruce Corfitsen, Roskilde;4
2. Klostermarken;V;Venstre - Danmarks Liberale Parti;Claus Mortensen, Himmelev;3
2. Klostermarken;V;Venstre - Danmarks Liberale Parti;Deniz Said, Roskilde;7
2. Klostermarken;V;Venstre - Danmarks Liberale Parti;Marie Dam, Roskilde;7
2. Klostermarken;V;Venstre - Danmarks Liberale Parti;Villads Sørensen, Snoldelev-Hastrup;0
2. Klostermarken;V;Venstre - Danmarks Liberale Parti;Torben Andersen, Kumlehuse;0
2. Klostermarken;V;Venstre - Danmarks Liberale Parti;Anders Høgdal Larsen, Gadstrup;0
2. Klostermarken;V;Venstre - Danmarks Liberale Parti;Kim Jeppe Wass, Roskilde;1
2. Klostermarken;V;Venstre - Danmarks Liberale Parti;Torben Svendsen, Veddelev;1
2. Klostermarken;V;Venstre - Danmarks Liberale Parti;Knud J. Vest, Jyllinge;0
2. Klostermarken;V;Venstre - Danmarks Liberale Parti;Dennis Knudsen, Roskilde;1
2. Klostermarken;Æ;Danmarksdemokraterne - Inger Støjberg;Listestemmer;14
2. Klostermarken;Æ;Danmarksdemokraterne - Inger Støjberg;Kim B. Nielsen;4
2. Klostermarken;Æ;Danmarksdemokraterne - Inger Støjberg;Svend-Erik B. Nielsen;0
2. Klostermarken;Ø;Enhedslisten - De Rød-Grønne;Listestemmer;98
2. Klostermarken;Ø;Enhedslisten - De Rød-Grønne;Anna Bondo Nielsen, Roskilde;119
2. Klostermarken;Ø;Enhedslisten - De Rød-Grønne;Birgitte Baktoft, Himmelev;16
2. Klostermarken;Ø;Enhedslisten - De Rød-Grønne;Danny Nielsen, Roskilde;5
2. Klostermarken;Ø;Enhedslisten - De Rød-Grønne;Adam Ahlstrand Christensen, Trekroner;14
2. Klostermarken;Ø;Enhedslisten - De Rød-Grønne;Ellie Rank Sabransky, Trekroner;3
2. Klostermarken;Ø;Enhedslisten - De Rød-Grønne;Gert Petersen, Musicon;5
2. Klostermarken;Ø;Enhedslisten - De Rød-Grønne;Ester Beha, Roskilde;2
2. Klostermarken;Ø;Enhedslisten - De Rød-Grønne;Lucia Carriere, Roskilde;3
2. Klostermarken;Ø;Enhedslisten - De Rød-Grønne;Thomas Toft, Viby;0
2. Klostermarken;Ø;Enhedslisten - De Rød-Grønne;Michael Larsen, Jyllinge;0
2. Klostermarken;Ø;Enhedslisten - De Rød-Grønne;Victor Irming, Trekroner;2
2. Klostermarken;Ø;Enhedslisten - De Rød-Grønne;Henning Bentzen, Himmelev;3
2. Klostermarken;Ø;Enhedslisten - De Rød-Grønne;Annie Grim Balsen, Roskilde;4
2. Klostermarken;Ø;Enhedslisten - De Rød-Grønne;Theresa Maria Folke Olesen, Roskilde;2
2. Klostermarken;Ø;Enhedslisten - De Rød-Grønne;Xenia Anderson, Trekroner;6
2. Klostermarken;Ø;Enhedslisten - De Rød-Grønne;Per Nielsen, Gadstrup;0
2. Klostermarken;Ø;Enhedslisten - De Rød-Grønne;Bodil Kjærum, Roskilde;1
2. Klostermarken;Ø;Enhedslisten - De Rød-Grønne;Peder Pedersen, Vor Frue;0
2. Klostermarken;Ø;Enhedslisten - De Rød-Grønne;Åge Skovrind, Roskilde;1
2. Klostermarken;Ø;Enhedslisten - De Rød-Grønne;Anne Haarløv, Roskilde;5
2. Klostermarken;Ø;Enhedslisten - De Rød-Grønne;Henrik Palsmar, Roskilde;0
2. Klostermarken;Ø;Enhedslisten - De Rød-Grønne;Aslak Beha, Roskilde;1
2. Klostermarken;Å;Alternativet;Listestemmer;9
2. Klostermarken;Å;Alternativet;Isabella Apelroth;12
3. Sankt Jørgen;A;Socialdemokratiet;Listestemmer;291
3. Sankt Jørgen;A;Socialdemokratiet;Tomas Breddam, Roskilde;301
3. Sankt Jørgen;A;Socialdemokratiet;Signe Kaulberg, Roskilde;156
3. Sankt Jørgen;A;Socialdemokratiet;Troels Toft, Roskilde;82
3. Sankt Jørgen;A;Socialdemokratiet;Chili Preisler-Andersen, Roskilde;40
3. Sankt Jørgen;A;Socialdemokratiet;Claus Larsen, Jyllinge;8
3. Sankt Jørgen;A;Socialdemokratiet;Anne Marie Wulff Hedenborg, Roskilde;16
3. Sankt Jørgen;A;Socialdemokratiet;René Vejby Kierch, Roskilde;24
3. Sankt Jørgen;A;Socialdemokratiet;Morgan Krüger, Roskilde;41
3. Sankt Jørgen;A;Socialdemokratiet;Thomas Bach Jørgensen, Viby;12
3. Sankt Jørgen;A;Socialdemokratiet;Filiz Sarah Thunø, Jyllinge;3
3. Sankt Jørgen;A;Socialdemokratiet;Dorthe Pagh, Himmelev;19
3. Sankt Jørgen;A;Socialdemokratiet;Gitte Simoni, Vindinge;15
3. Sankt Jørgen;A;Socialdemokratiet;Edisa Bajtarevic, Roskilde;8
3. Sankt Jørgen;A;Socialdemokratiet;Tuncay Yilmaz, Roskilde;4
3. Sankt Jørgen;A;Socialdemokratiet;Jean-Luc Ngassa, Roskilde;6
3. Sankt Jørgen;A;Socialdemokratiet;Samir Salameh, Roskilde;18
3. Sankt Jørgen;A;Socialdemokratiet;Frank Hvid Petersen, Trekroner;6
3. Sankt Jørgen;B;Radikale Venstre;Listestemmer;79
3. Sankt Jørgen;B;Radikale Venstre;Jeppe Trolle, Viby Sjælland;64
3. Sankt Jørgen;B;Radikale Venstre;Jeppe Fransson, Roskilde;21
3. Sankt Jørgen;B;Radikale Venstre;Helena Tjørnelund, Roskilde;16
3. Sankt Jørgen;B;Radikale Venstre;Daniel Moltke-Prehn, Roskilde;26
3. Sankt Jørgen;B;Radikale Venstre;Andreas Nøhr Vestergaard, Himmelev;20
3. Sankt Jørgen;B;Radikale Venstre;Karin Berg, Sankt Jørgensbjerg;53
3. Sankt Jørgen;B;Radikale Venstre;Jens Erik Ørum, Svogerslev;4
3. Sankt Jørgen;B;Radikale Venstre;Helena Elisabeth Christensen, Roskilde;14
3. Sankt Jørgen;B;Radikale Venstre;Ina Lykke Jensen, Himmelev;7
3. Sankt Jørgen;B;Radikale Venstre;Anders Rohde, Roskilde;0
3. Sankt Jørgen;C;Det Konservative Folkeparti;Listestemmer;111
3. Sankt Jørgen;C;Det Konservative Folkeparti;Rasmus Jarlov, Gadstrup;362
3. Sankt Jørgen;C;Det Konservative Folkeparti;Victoria Helene Olsen, Roskilde;47
3. Sankt Jørgen;C;Det Konservative Folkeparti;Mogens Hallager, Jyllinge;13
3. Sankt Jørgen;C;Det Konservative Folkeparti;Pierre Kary, Jyllinge;1
