Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Ishøj Landsby;A;Socialdemokratiet;Listestemmer;63
1. Ishøj Landsby;A;Socialdemokratiet;Ole Bjørstorp;140
1. Ishøj Landsby;A;Socialdemokratiet;Merete Amdisen;11
1. Ishøj Landsby;A;Socialdemokratiet;Jørn Hjøllund Larsen;2
1. Ishøj Landsby;A;Socialdemokratiet;Birgit Nielsen;20
1. Ishøj Landsby;A;Socialdemokratiet;Bent Lykke Skov;6
1. Ishøj Landsby;A;Socialdemokratiet;Ebbe Rosenberg;9
1. Ishøj Landsby;A;Socialdemokratiet;Jeannette Merklin;47
1. Ishøj Landsby;A;Socialdemokratiet;Henrik Olsen;14
1. Ishøj Landsby;A;Socialdemokratiet;Bent Kjærgaard;1
1. Ishøj Landsby;A;Socialdemokratiet;Carsten Lynge Nielsen;0
1. Ishøj Landsby;A;Socialdemokratiet;Ulla Stanley Nielsen;3
1. Ishøj Landsby;A;Socialdemokratiet;Sengül Deniz;3
1. Ishøj Landsby;A;Socialdemokratiet;Leif Christoffersen;0
1. Ishøj Landsby;A;Socialdemokratiet;Seyit Ahmet Ozkan;2
1. Ishøj Landsby;A;Socialdemokratiet;Bayram Yüksel;0
1. Ishøj Landsby;A;Socialdemokratiet;Carsten Ragnar Pålsson;0
1. Ishøj Landsby;C;Det Konservative Folkeparti;Listestemmer;33
1. Ishøj Landsby;C;Det Konservative Folkeparti;Benny Christian Hansen;20
1. Ishøj Landsby;C;Det Konservative Folkeparti;Flemming Moegreen Ibsen;3
1. Ishøj Landsby;C;Det Konservative Folkeparti;Jan Hans-Henrik Hauge Andersen;0
1. Ishøj Landsby;C;Det Konservative Folkeparti;Søren Peter Olsen;2
1. Ishøj Landsby;C;Det Konservative Folkeparti;Uffe Andersen;33
1. Ishøj Landsby;C;Det Konservative Folkeparti;Lisbeth Sneistrup Kejlberg;2
1. Ishøj Landsby;C;Det Konservative Folkeparti;Sundus Sinanovski;0
1. Ishøj Landsby;C;Det Konservative Folkeparti;Mogens Everdahl;1
1. Ishøj Landsby;F;SF - Socialistisk Folkeparti;Listestemmer;30
1. Ishøj Landsby;F;SF - Socialistisk Folkeparti;Niels Borre;68
1. Ishøj Landsby;F;SF - Socialistisk Folkeparti;Bilal Inekci;7
1. Ishøj Landsby;F;SF - Socialistisk Folkeparti;Birgitte Schou Pedersen;4
1. Ishøj Landsby;F;SF - Socialistisk Folkeparti;Erkan Yapici;4
1. Ishøj Landsby;F;SF - Socialistisk Folkeparti;Sami Deniz;4
1. Ishøj Landsby;F;SF - Socialistisk Folkeparti;Sedsel Brøndum Lange;18
1. Ishøj Landsby;F;SF - Socialistisk Folkeparti;Gülsar Taskiran;0
1. Ishøj Landsby;F;SF - Socialistisk Folkeparti;Lars Kølle;1
1. Ishøj Landsby;F;SF - Socialistisk Folkeparti;Klaus-Henrik Siversen;0
1. Ishøj Landsby;F;SF - Socialistisk Folkeparti;Henrik Kenneth Mikkelsen;0
1. Ishøj Landsby;L;Ishøj Borgerliste;Listestemmer;0
1. Ishøj Landsby;L;Ishøj Borgerliste;Lena Lumby;1
1. Ishøj Landsby;L;Ishøj Borgerliste;Flemming Lumby;0
1. Ishøj Landsby;L;Ishøj Borgerliste;Jeanette Lonnie Gyngsø Skjøth;1
1. Ishøj Landsby;L;Ishøj Borgerliste;Kirsten Joan Gärtner;0
1. Ishøj Landsby;L;Ishøj Borgerliste;Charlotte Gry Larsen;0
1. Ishøj Landsby;L;Ishøj Borgerliste;Henriette Lykke Lumby;0
1. Ishøj Landsby;L;Ishøj Borgerliste;Heidi Sara Bøger;0
1. Ishøj Landsby;L;Ishøj Borgerliste;Flemming Bo Johansen;0
1. Ishøj Landsby;L;Ishøj Borgerliste;Helle Møller Nees;0
1. Ishøj Landsby;L;Ishøj Borgerliste;Bess Lykke Sørensen;0
1. Ishøj Landsby;L;Ishøj Borgerliste;Michael Georg Køhn;0
1. Ishøj Landsby;O;Dansk Folkeparti;Listestemmer;54
1. Ishøj Landsby;O;Dansk Folkeparti;Poul Rikardt Jørgensen;25
1. Ishøj Landsby;O;Dansk Folkeparti;Charlotte Majbrit Jørgensen;24
1. Ishøj Landsby;O;Dansk Folkeparti;Lasse Holger Petersen;11
1. Ishøj Landsby;O;Dansk Folkeparti;Gitte Louise Simoni;3
1. Ishøj Landsby;O;Dansk Folkeparti;Bjarne Møller-Olsen;3
1. Ishøj Landsby;O;Dansk Folkeparti;Majken Eliasen;1
1. Ishøj Landsby;O;Dansk Folkeparti;Simon Larsen;1
1. Ishøj Landsby;V;Venstre, Danmarks Liberale Parti;Listestemmer;77
1. Ishøj Landsby;V;Venstre, Danmarks Liberale Parti;Ole Beckmann Andersen;30
1. Ishøj Landsby;V;Venstre, Danmarks Liberale Parti;Lennart Hartmann Nielsen;12
1. Ishøj Landsby;V;Venstre, Danmarks Liberale Parti;Lars Johannes Jensen;31
